question,expected_answer,oai_answer,claude_answer,oai_match,claude_match
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,"Patients with BRAF V600E-mutant metastatic colorectal cancer (mCRC) who have progressed after prior chemotherapy should be treated with the combination of encorafenib (a BRAF inhibitor) and cetuximab (an anti-EGFR antibody), as recommended by current guidelines.","For patients with BRAF V600E-mutant metastatic colorectal cancer (mCRC) who have received prior chemotherapy, the recommended treatment is a combination of:
- BRAF inhibitor (encorafenib)
- EGFR inhibitor (cetuximab or panitumumab)

This combination therapy has shown improved survival outcomes compared to standard therapy in this patient population.",YES,YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC","No, anti-EGFR therapy should not be added as first-line treatment for RAS-mutant left-sided metastatic colorectal cancer (mCRC) because RAS mutations predict resistance to anti-EGFR therapy.","No, anti-EGFR therapy should NOT be added as first-line therapy for RAS mutant left-sided mCRC. RAS mutations are a known negative predictive biomarker for anti-EGFR therapy, and these patients will not benefit from anti-EGFR treatment regardless of tumor location.",NO,NO
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,"Stereotactic body radiation therapy (SBRT) is recommended for liver oligometastases in metastatic colorectal cancer (mCRC) when patients are not candidates for surgical resection or ablation, and the disease is limited to a few liver metastases (typically ≤5), with adequate liver function and controlled primary disease.","SBRT for liver oligometastases in mCRC is typically recommended when:
1. Surgical resection is not feasible
2. Patient has ≤3-5 liver metastases
3. Lesions are ≤6 cm in size
4. Adequate liver function is present
5. Metastases are not amenable to other local therapies",NO,NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,"The healing period is typically **10-14 days to 3 weeks** after a dental procedure before starting radiation therapy to reduce the risk of osteoradionecrosis (ORN), but this may vary based on individual factors and the extent of the procedure. Always follow the guidance of the healthcare team.",The recommended healing period between dental procedures and the start of radiation therapy is typically 14-21 days (2-3 weeks). This allows adequate time for soft tissue healing and initial bone healing to minimize the risk of ORN.,NO,YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.","For advanced-stage osteoradionecrosis (ORN) in head and neck cancer patients, surgical recommendations typically include segmental resection of the necrotic bone and reconstruction using vascularized free flaps, such as fibula or scapular flaps, to restore function and structure.","For advanced-stage osteoradionecrosis (ORN) in head and neck cancer patients, the primary surgical recommendation is radical resection of necrotic bone with immediate free flap reconstruction. This typically involves:

1. Complete removal of all necrotic tissue
2. Mandibulectomy (if mandible is involved)
3. Free flap reconstruction (usually fibula free flap)
4. Adequate soft tissue coverage

This aggressive surgical approach is necessary when conservative treatments have failed and is aimed at restoring form and function while preventing further progression of the condition.",YES,YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.","In metastatic HNSCC with PD-L1 < 1, single-agent immunotherapy (e.g., pembrolizumab) is generally not recommended due to limited efficacy. Combination therapy with chemotherapy may be more appropriate in this setting.","No, immunotherapy single agent is not recommended for metastatic HNSCC with PD-L1 < 1%. In these cases, platinum-based chemotherapy combinations remain the standard first-line treatment, as low PD-L1 expression is associated with poor response to immunotherapy monotherapy.",YES,NO
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,"For platinum-refractory recurrent or metastatic head and neck squamous cell carcinoma (HNSCC), immunotherapy with immune checkpoint inhibitors like pembrolizumab (anti-PD-1) or nivolumab (anti-PD-1) is recommended. Nivolumab is approved regardless of PD-L1 expression, while pembrolizumab is typically used in patients with PD-L1-positive tumors (CPS ≥1). These therapies are considered after progression on or intolerance to platinum-based chemotherapy.","For platinum-refractory recurrent/metastatic HNSCC, pembrolizumab or nivolumab (PD-1 inhibitors) are recommended as second-line therapy. Treatment selection should consider PD-L1 expression status and patient performance status. These agents have shown improved survival compared to standard chemotherapy in clinical trials (KEYNOTE-040 and CheckMate 141).",NO,NO
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.","PD-L1 biomarker testing is recommended in recurrent/metastatic head and neck squamous cell carcinoma (HNSCC) to guide the use of immune checkpoint inhibitors, such as pembrolizumab, as its expression (measured by CPS) helps determine eligibility and potential benefit from therapy.","PD-L1 testing is recommended for all patients with recurrent/metastatic HNSCC prior to first-line systemic therapy, as it helps guide treatment decisions, particularly regarding the use of pembrolizumab as monotherapy or in combination with chemotherapy.",YES,NO
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,"Yes, radiation therapy can be integrated with immunotherapy for recurrent head and neck squamous cell carcinoma (HNSCC), as the combination may enhance anti-tumor immune responses and improve outcomes, though clinical trials are ongoing to optimize efficacy and safety.","Yes, radiation therapy can be integrated with immunotherapy for recurrent HNSCC. Clinical studies have shown that combining these treatments may enhance anti-tumor immune responses through radiation-induced immunogenic cell death and improved tumor antigen presentation. However, optimal timing and sequencing of these therapies are still being investigated in ongoing clinical trials.",NO,NO
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.","PARP inhibitors, such as olaparib, niraparib, or a combination of olaparib and bevacizumab, are recommended as maintenance therapy for newly diagnosed advanced ovarian cancer patients who respond to platinum-based chemotherapy. The choice depends on BRCA mutation status, homologous recombination deficiency (HRD) status, and individual patient factors.","PARP inhibitors (olaparib, niraparib) are recommended as maintenance therapy for newly diagnosed advanced ovarian cancer patients who have achieved complete or partial response to first-line platinum-based chemotherapy. They are particularly effective in patients with BRCA mutations, but can also be used in non-BRCA mutated cases. Treatment duration is typically 2-3 years or until disease progression.",YES,NO
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,PARP inhibitors have shown limited to no significant improvement in overall survival for patients with recurrent ovarian cancer who lack BRCA mutations or homologous recombination deficiency (HRD) positivity.,"In patients with recurrent ovarian cancer without BRCA mutations or HRD-positivity, PARP inhibitors have shown limited to no significant improvement in overall survival. Some studies even suggest potential detrimental effects in this specific patient population, highlighting the importance of proper patient selection for PARP inhibitor therapy.",NO,YES
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,PARP inhibitors provide limited to no significant improvement in progression-free survival for patients with recurrent ovarian cancer who lack BRCA mutations or homologous recombination deficiency (HRD) positivity.,"PARP inhibitors generally show limited to no significant benefit in progression-free survival for patients with recurrent ovarian cancer who are BRCA wild-type and HRD-negative, as these biomarkers are key predictors of PARP inhibitor response.",NO,NO
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.",A total parotidectomy with possible resection of involved surrounding structures and neck dissection is recommended for T3-T4 high-grade parotid cancers.,"For T3-T4 high-grade parotid cancers, a radical parotidectomy with facial nerve sacrifice (if involved) is recommended, typically combined with neck dissection. Clear surgical margins are crucial. Post-operative radiation therapy is usually indicated.",NO,NO
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.","The recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment typically includes imaging every 3–6 months for the first 2 years, then every 6–12 months for the next 3 years, and as clinically indicated thereafter.","For high-grade salivary gland cancers post-treatment, the typical follow-up imaging schedule is:
- Every 3-4 months for the first 2 years
- Every 6 months for years 3-5
- Annually thereafter

Primary imaging modalities include CT/MRI of the head and neck, with chest imaging to monitor for metastases.",NO,NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.","For stage III-IVA nasopharyngeal carcinoma (NPC), a commonly recommended induction chemotherapy regimen is **cisplatin-based chemotherapy**, often combined with drugs like **gemcitabine** or **5-fluorouracil**.","For stage III-IVA nasopharyngeal carcinoma, the recommended induction chemotherapy regimen typically consists of TPF (Docetaxel, Cisplatin, and 5-Fluorouracil) or PF (Cisplatin and 5-Fluorouracil) for 2-3 cycles.",YES,YES
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,Intensity-modulated radiotherapy (IMRT) is the preferred technique for stage II-IVA nasopharyngeal carcinoma due to its precision and ability to spare surrounding healthy tissues.,"IMRT (Intensity-Modulated Radiation Therapy) is the preferred radiotherapy technique for stage II-IVA nasopharyngeal carcinoma, as it provides superior target coverage and better sparing of adjacent critical structures compared to conventional radiotherapy.",NO,YES
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.","Adjuvant chemotherapy is not routinely recommended for T3N0 nasopharyngeal carcinoma patients, as concurrent chemoradiotherapy alone is typically sufficient for locoregional control and survival, with limited evidence supporting additional benefit from adjuvant chemotherapy in this subgroup.","The role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients remains controversial. While concurrent chemoradiotherapy is the standard of care, current evidence does not strongly support the routine use of adjuvant chemotherapy in T3N0 cases. Some studies suggest it may reduce distant metastasis, but its impact on overall survival is not clearly demonstrated.",NO,NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,"The typical radiation schedule for nasopharyngeal carcinoma involves **70 Gy** delivered in **35 fractions** over **7 weeks** (2 Gy per fraction), often combined with concurrent chemotherapy for advanced stages.","The standard radiotherapy schedule for nasopharyngeal carcinoma typically consists of:
- 66-70 Gy to primary tumor and involved nodes
- 1.8-2.0 Gy per fraction
- 5 fractions per week
- Total treatment duration of 6-7 weeks

This is often combined with chemotherapy in locally advanced cases.",YES,YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,"Treatment options for MET exon 14 skipping mutation-positive non-small cell lung cancer (NSCLC) include targeted therapies such as **capmatinib** and **tepotinib**, which are MET inhibitors. Other options may include clinical trials or chemotherapy if targeted therapies are not suitable.","Treatment options for MET exon 14 skipping mutation-positive NSCLC include:

1. FDA-approved MET inhibitors:
- Tepotinib (Tepmetko)
- Capmatinib (Tabrecta)

2. Standard therapy options:
- Chemotherapy
- Immunotherapy
- Combination of both

MET inhibitors are the preferred first-line treatment due to their targeted approach and better outcomes in this specific mutation.",YES,YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,"The first-line treatment guideline for EGFR exon 20 insertion non-small cell lung cancer (NSCLC) typically involves platinum-based chemotherapy, as EGFR exon 20 insertions are generally resistant to first- and second-generation EGFR TKIs. Targeted therapies like amivantamab or mobocertinib may be considered in later lines of treatment. Always refer to the latest clinical guidelines for updates.","First-line treatment for EGFR exon 20 insertion NSCLC is platinum-based chemotherapy, as traditional EGFR TKIs are generally not effective for this specific mutation. Amivantamab and mobocertinib are approved but only as second-line treatments.",NO,NO
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,"The recommended first-line treatment for stage IV NSCLC with an EGFR exon 19 deletion mutation is an EGFR tyrosine kinase inhibitor (TKI), such as osimertinib.","First-line treatment for stage IV NSCLC with EGFR exon 19 deletion is an EGFR tyrosine kinase inhibitor (TKI), with osimertinib being the preferred option due to superior efficacy and CNS penetration.",YES,YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab","Patients with stage IV NSCLC and EGFR mutation who progress after osimertinib treatment should undergo repeat molecular testing (e.g., liquid or tissue biopsy) to identify resistance mechanisms. Treatment options depend on the findings and may include targeted therapies for specific mutations (e.g., MET amplification, C797S mutation), chemotherapy, or clinical trial enrollment.","After progression on osimertinib in EGFR-mutated stage IV NSCLC, treatment options include:
1. Molecular testing to identify resistance mechanisms (especially MET amplification)
2. If MET amplification: Add MET inhibitor
3. If no targetable resistance mechanism: Switch to platinum-based chemotherapy
4. Consider clinical trials if available",NO,NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.",The first-line treatment for stage IV non-small cell lung cancer (NSCLC) with a ROS1 fusion mutation is **crizotinib**.,Crizotinib is the first-line treatment for ROS1-positive metastatic non-small cell lung cancer (NSCLC).,NO,NO
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,"The combination of amivantamab plus lazertinib has shown improved progression-free survival compared to osimertinib alone in untreated EGFR mutation-positive stage IV NSCLC, as demonstrated in clinical trials like MARIPOSA.","Based on the MARIPOSA trial results, amivantamab plus lazertinib showed superior progression-free survival (PFS) compared to osimertinib alone in first-line treatment of EGFR-mutated advanced NSCLC, with a median PFS of 23.7 months vs 16.5 months (HR 0.48).",YES,YES
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,"Anti-PD-L1 therapy is generally not recommended as second-line treatment for EGFR mutation-positive NSCLC without targetable alterations, as these patients typically have limited benefit from immune checkpoint inhibitors. Alternative therapies, such as chemotherapy, are preferred.","No, anti-PD-L1 therapy is not recommended as second-line treatment for EGFR mutation-positive NSCLC. These patients typically show lower response rates to immunotherapy, and chemotherapy is generally preferred as the second-line treatment option after EGFR TKI failure.",YES,YES
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,"Osimertinib is typically administered orally at 80 mg once daily, and it can be combined with chemotherapy (e.g., platinum-based doublets) for advanced EGFR-mutated NSCLC. The specific chemotherapy regimen and schedule should follow standard protocols, and treatment should be guided by a healthcare professional based on the patient's condition.",Osimertinib should NOT be administered with chemotherapy as first-line treatment for advanced EGFR-mutated NSCLC. It is used as monotherapy and is the preferred first-line treatment option for these patients.,NO,NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,"The treatment recommendation for ROS1-positive NSCLC after progression on crizotinib is usually lorlatinib, which has shown efficacy in this setting.","After progression on crizotinib in ROS1-positive NSCLC, next-generation ROS1 inhibitors like entrectinib or lorlatinib are recommended as subsequent therapy options. These agents have shown efficacy in crizotinib-resistant disease.",YES,NO
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.","The combination of atezolizumab, bevacizumab, and chemotherapy has shown limited efficacy in EGFR-mutated non-small cell lung cancer (NSCLC) compared to targeted EGFR tyrosine kinase inhibitors (TKIs), which remain the standard of care for this population.",The IMpower150 trial showed that atezolizumab plus bevacizumab and chemotherapy improved progression-free survival (PFS) and overall survival (OS) in EGFR-mutated NSCLC patients who had previously failed on EGFR-TKI therapy. The median PFS was 9.7 months vs 6.1 months with bevacizumab-chemotherapy alone.,NO,NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,"For patients with MET exon 14 skipping mutations, first-line therapy recommendations include MET tyrosine kinase inhibitors (TKIs) such as **capmatinib** or **tepotinib**, as they are specifically approved for this mutation.","For patients with MET exon 14 skipping mutations, the recommended first-line therapy is a MET tyrosine kinase inhibitor (TKI). The FDA-approved options are:
- Capmatinib (Tabrecta)
- Tepotinib (Tepmetko)

Both drugs have shown significant efficacy in clinical trials for this specific mutation.",YES,YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,"As of now, the standard first-line treatment for KRAS G12C-mutated non-small cell lung cancer (NSCLC) typically involves immune checkpoint inhibitors (e.g., pembrolizumab) with or without chemotherapy, depending on PD-L1 expression and other clinical factors. Direct KRAS G12C inhibitors like sotorasib or adagrasib are generally used in later lines of therapy.","For first-line treatment of KRAS G12C-mutated NSCLC, the current standard is platinum-based chemotherapy plus/minus immunotherapy (pembrolizumab), as KRAS G12C inhibitors are currently only FDA-approved for second-line therapy and beyond.",NO,NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,"The recommended first-line therapy for RET rearrangement-positive non-small cell lung cancer (NSCLC) is a selective RET inhibitor, such as **pralsetinib** or **selpercatinib**, based on their efficacy and safety profiles.","For RET rearrangement-positive NSCLC, the recommended first-line therapy is selective RET inhibitor selpercatinib (Retevmo) or pralsetinib (Gavreto). These targeted therapies are preferred over chemotherapy and/or immunotherapy.",YES,YES
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,"Clinicians should manage EGFR T790M resistance alterations in advanced NSCLC by using third-generation EGFR tyrosine kinase inhibitors (TKIs), such as osimertinib, which are specifically designed to target this mutation.","For EGFR T790M resistance in advanced NSCLC, clinicians should:

1. Confirm T790M mutation through molecular testing (liquid or tissue biopsy)
2. Prescribe osimertinib (third-generation EGFR-TKI) as the standard treatment
3. Monitor treatment response and potential development of additional resistance mechanisms",YES,YES
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,"The first-line treatment for patients with stage IV non-small cell lung cancer (NSCLC) and PD-L1 tumor proportion score (TPS) ≥50% is **pembrolizumab monotherapy**, provided there are no contraindications to immune checkpoint inhibitors.","Pembrolizumab monotherapy is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%, without EGFR mutations or ALK rearrangements.",YES,YES
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,"Yes, single-agent pembrolizumab is an appropriate first-line treatment for stage IV squamous NSCLC with PD-L1 expression ≥1%, including 32%, provided there are no contraindications.","Yes, single agent pembrolizumab is appropriate first-line therapy for stage IV squamous NSCLC with PD-L1 expression ≥1% (including 32%), based on KEYNOTE-024 trial data showing superior outcomes compared to chemotherapy.",NO,NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,"The recommended therapy for stage IV non-small cell lung cancer (NSCLC) with PD-L1 tumor proportion score (TPS) of 0% typically involves **platinum-based chemotherapy** (e.g., carboplatin or cisplatin combined with pemetrexed for nonsquamous histology or with paclitaxel for squamous histology). In some cases, **combination chemo-immunotherapy** (e.g., adding atezolizumab or bevacizumab) may also be considered based on patient factors and guidelines.","For stage IV NSCLC with PD-L1 TPS of 0%, the recommended first-line therapy is platinum-based chemotherapy doublet (such as carboplatin/pemetrexed) plus bevacizumab if there are no contraindications and no actionable mutations.",NO,NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.","For patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%, options include:

1. **Immune checkpoint inhibitors (ICIs) as monotherapy**: Pembrolizumab or atezolizumab.
2. **ICIs combined with chemotherapy**: Pembrolizumab plus platinum-based chemotherapy.
3. **Clinical trials**: If available and appropriate.

Treatment choice depends on patient factors, comorbidities, and preferences.","For stage IV squamous NSCLC with PD-L1 TPS ≥50%, the primary treatment options are:

1. First-line pembrolizumab monotherapy (preferred)
2. Pembrolizumab + chemotherapy (carboplatin + paclitaxel/nab-paclitaxel)

Both options are supported by phase 3 clinical trial data (KEYNOTE-024 and KEYNOTE-407), with pembrolizumab monotherapy generally preferred due to better tolerability.",YES,NO
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,"The recommended adjuvant therapy for completely resected stage I-IIIA non-small cell lung cancer (NSCLC) with EGFR mutations is **osimertinib**, a third-generation EGFR tyrosine kinase inhibitor (TKI).","For completely resected stage I-IIIA NSCLC with EGFR mutations, adjuvant osimertinib is recommended based on the ADAURA trial, which showed significantly improved disease-free survival compared to placebo.",YES,YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,"Stage II-IIIA NSCLC patients with PD-L1 expression ≥1% should be managed with adjuvant atezolizumab following surgery and platinum-based chemotherapy, as per current guidelines and evidence.","For stage II-IIIA NSCLC patients with PD-L1 expression ≥1%, the recommended management after surgery is adjuvant platinum-based chemotherapy followed by atezolizumab immunotherapy for 1 year. This approach is based on the IMpower010 trial, which demonstrated improved disease-free survival with this treatment strategy.",YES,YES
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,The adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1 typically includes **platinum-based chemotherapy**.,"For resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1, the standard adjuvant therapy is platinum-based chemotherapy (typically cisplatin-based doublet for 4 cycles).",YES,YES
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,"Yes, osimertinib can be recommended for stage IB NSCLC with tumors ≥4 cm and EGFR mutation, as it has shown benefit in reducing recurrence risk in early-stage EGFR-mutated NSCLC based on clinical trial data (e.g., ADAURA trial). However, treatment decisions should be individualized.","Yes, osimertinib is recommended as adjuvant therapy for stage IB NSCLC with tumors ≥4 cm harboring EGFR mutations (exon 19 deletions or L858R mutations), based on the ADAURA trial results showing improved disease-free survival in these patients.",NO,NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,"The recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease typically includes **platinum-based chemotherapy**, with or without concurrent **radiotherapy**, and in some cases, **immunotherapy** (e.g., checkpoint inhibitors) may be considered based on emerging evidence and clinical trial data.","For resectable stage III NSCLC with N2 disease, the recommended neoadjuvant therapy is platinum-based chemotherapy, typically combined with concurrent radiation therapy. This approach aims to downstage the tumor before surgery and improve survival outcomes.",YES,YES
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,"The management for medically inoperable stage III non-small cell lung cancer (NSCLC) typically involves definitive concurrent chemoradiation therapy, followed by consideration of consolidation immunotherapy with durvalumab if there is no disease progression after treatment.","For medically inoperable stage III NSCLC, the standard treatment is concurrent chemoradiation therapy (combining chemotherapy with radiation therapy), assuming the patient can tolerate it. If concurrent therapy isn't tolerable, sequential chemoradiation or radiation therapy alone may be considered based on the patient's performance status.",YES,YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,"The evidence-based radiation dose for stage III non-small cell lung cancer (NSCLC) treated with concurrent chemoradiation is 60 Gy in 2 Gy fractions, as established by the RTOG 0617 trial. Higher doses (e.g., 74 Gy) were associated with worse outcomes.","The standard evidence-based radiation dose for stage III NSCLC treated with concurrent chemoradiation is 60 Gy delivered in 30 fractions (2 Gy per fraction). This is based on the RTOG 0617 trial, which showed that dose escalation to 74 Gy did not improve outcomes and was associated with increased toxicity compared to 60 Gy.",YES,YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,"The length of consolidation immunotherapy for patients with stage III NSCLC who have completed chemoradiation is typically **up to 12 months** with durvalumab, as per the PACIFIC trial.","The standard duration of consolidation immunotherapy with durvalumab for stage III NSCLC patients after chemoradiation is 12 months, based on the PACIFIC trial.",YES,YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib","Yes, adjuvant chemotherapy should still be offered to patients with resected stage III NSCLC and EGFR mutation, as it remains the standard of care to reduce recurrence risk, even if adjuvant EGFR-targeted therapy (e.g., osimertinib) is planned.","Yes, adjuvant chemotherapy should still be offered to patients with resected stage III NSCLC with EGFR mutation. While targeted therapy (EGFR TKIs) has shown benefit in this setting, it does not replace but rather complements standard adjuvant chemotherapy according to current guidelines.",NO,NO
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,The maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma is **up to 1 year (17 cycles)**.,The maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma is 1 year (12 months).,NO,NO
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.","The recommended therapy for resectable stage IIIB-IV cutaneous melanoma is surgical resection followed by adjuvant immunotherapy, such as anti-PD-1 agents (nivolumab or pembrolizumab).","For resectable stage IIIB-IV cutaneous melanoma, the recommended therapy is:

1. Complete surgical resection of the tumor
2. Followed by adjuvant therapy with either:
   - Anti-PD-1 immunotherapy (pembrolizumab or nivolumab)
   - OR targeted therapy with BRAF/MEK inhibitors (for BRAF-mutated tumors)",NO,NO
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,"In BRAF-mutant unresectable melanoma after progression on anti-PD-1 therapy, **anti-PD-1 monotherapy** or **anti-CTLA-4 monotherapy** should generally be avoided, as they are unlikely to be effective. Combination BRAF/MEK inhibitors may be considered instead.","After progression on anti-PD-1 therapy in BRAF-mutant unresectable melanoma, single-agent BRAF inhibitor therapy should be avoided. Combination therapy with BRAF and MEK inhibitors is preferred if targeted therapy is being considered.",NO,NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,"For HLA-A*02:01-positive patients with metastatic uveal melanoma, tebentafusp, a bispecific T-cell receptor therapy, is a key treatment option. Other therapies may include immune checkpoint inhibitors, liver-directed therapies, and clinical trials exploring novel agents.","For HLA-A*02:01-positive patients with metastatic uveal melanoma, key therapy options include:

1. IMCgp100/tebentafusp (first-line treatment) - a bispecific fusion protein targeting gp100 and CD3
2. Immune checkpoint inhibitors (e.g., pembrolizumab, ipilimumab)
3. Clinical trials testing novel immunotherapies
4. Conventional treatments like chemotherapy or liver-directed therapies

Tebentafusp is particularly important as it's specifically approved for HLA-A*02:01-positive patients and has shown improved overall survival.",YES,YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,"For brain metastases less than 2 cm in size, a stereotactic radiosurgery (SRS) dose of **24 Gy in a single fraction** is commonly recommended.","For brain metastases less than 2 cm in size, a typical stereotactic radiosurgery (SRS) dose of 18-24 Gy in a single fraction is commonly recommended.",YES,YES
