question,expected_answer,asco_assistant_answer,asco_assistant_match
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,"For stage IV NSCLC with PD-L1 TPS of 0%, the recommended first-line treatment is a combination of pembrolizumab or cemiplimab with platinum-based chemotherapy and pemetrexed. Alternatively, nivolumab and ipilimumab may be offered.",NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.","For patients with stage IV NSCLC with squamous histology and PD-L1 TPS -50%, nivolumab and ipilimumab may be offered.",NO
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,"For patients with completely resected stage I-IIIA NSCLC and EGFR mutations, adjuvant osimertinib is recommended after platinum-based chemotherapy. For stage IB (3 < T - 4 cm, N0M0) NSCLC, adjuvant osimertinib is recommended for patients with sensitizing EGFR mutations (Ex19del or L858R).",YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,"For stage II-IIIA NSCLC patients with PD-L1 expression -1% after surgery, adjuvant platinum-based chemotherapy is recommended, and adjuvant immunotherapy may be considered.",NO
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,"For resected stage IIB-IIIA NSCLC patients without EGFR mutations or high PD-L1, adjuvant cisplatin-based chemotherapy is recommended.",YES
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,"For stage IB NSCLC with tumors >4 cm and EGFR mutations, adjuvant osimertinib is not explicitly recommended in the available ASCO guidelines. However, adjuvant osimertinib is recommended for stage IB NSCLC (3 < T - 4 cm, N0M0) with sensitizing EGFR mutations (Ex19del or L858R).",NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,"For resectable stage III NSCLC with N2 disease, the recommended neoadjuvant therapy is neoadjuvant chemoimmunotherapy, neoadjuvant chemotherapy, or neoadjuvant concurrent chemoradiation. However, neoadjuvant chemotherapy alone is the preferred treatment approach because no individual phase III trial has demonstrated a significant survival benefit using neoadjuvant chemoradiotherapy compared with neoadjuvant chemotherapy alone.",YES
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,"For medically inoperable stage III NSCLC, concurrent chemotherapy and radiation therapy should be offered to patients with good performance status.",YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,"For stage III NSCLC treated with chemoradiation, the recommended radiation dose is 60 Gy. However, doses above 60 Gy, up to 70 Gy, may be considered for well-selected patients, though comparisons of 60 Gy with doses above 60 Gy are lacking.",YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,"For stage III NSCLC patients who have completed chemoradiation without disease progression, consolidation immunotherapy (durvalumab) is recommended for up to 12 months.",YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib","For patients with resected stage III NSCLC and an EGFR mutation, adjuvant platinum-based chemotherapy should be offered before considering osimertinib. Adjuvant osimertinib is then offered after platinum-based chemotherapy.",YES
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,"For resected stage IIB or IIC melanoma, adjuvant pembrolizumab is recommended for a maximum of 52 weeks.",NO
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.","For resectable stage IIIB-IV cutaneous melanoma, neoadjuvant pembrolizumab followed by resection and adjuvant pembrolizumab is recommended.",YES
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,"For patients with BRAF-mutant unresectable melanoma who have progressed on anti-PD-1 therapy, combination BRAF/MEK inhibitor therapy should be offered.",NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,"For HLA-A*02:01-positive patients with metastatic uveal melanoma, tebentafusp should be offered.",YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,"For brain metastases less than 2 cm in size, and not associated with symptomatic mass effect, in patients with an option to proceed with HER2-directed therapy with known CNS activity, deferring local therapy may be discussed with the patient and a multidisciplinary team (MDT). Alternatively, for patients with a more favorable prognosis and many diffuse and/or extensive brain metastases (- five metastases) without leptomeningeal disease, stereotactic radiosurgery (SRS) or whole-brain radiation therapy with memantine plus hippocampal avoidance (WB-M + HA) may be recommended.",NO
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,"For brain metastases, surgery may be preferred over stereotactic radiosurgery (SRS) if the tumor is larger and associated with mass effect; SRS may be preferred for smaller metastases.",YES
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,"For patients with asymptomatic brain metastases from EGFR-mutant NSCLC, osimertinib or icotinib may be offered; local therapy should not be deferred unless specifically recommended in the guidelines.",NO
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,"For unresected brain metastases, stereotactic radiosurgery (SRS) is recommended over whole-brain radiation therapy (WBRT) for patients with one to four metastases, excluding small cell carcinoma.",YES
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,"Radiation therapy should not be offered to patients with brain metastases and a Karnofsky Performance Score (KPS) of 50 or less, or to patients with a KPS less than 70 who have no systemic therapy options.",YES
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,"temozolomide (TMZ) is a reasonable alternative to PCV (procarbazine, lomustine, and vincristine) when toxicity is a concern.",YES
