question,expected_answer,gemini-2.5-flash_answer,gemini-2.5-flash_match
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,MET inhibitors (such as capmatinib or tepotinib) are the recommended first-line therapy for patients with advanced or metastatic NSCLC harboring MET exon 14 skipping mutations.,YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,"The primary first-line treatment for KRAS G12C-mutated NSCLC is a KRAS G12C inhibitor, such as **sotorasib (Lumakras)** or **adagrasib (Krazati)**.",NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,"The recommendation for RET rearrangement-positive NSCLC as 1st line therapy is a **RET inhibitor**, such as selpercatinib or pralsetinib.",YES
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,"For advanced NSCLC with acquired EGFR T790M resistance, the standard management is treatment with the third-generation EGFR TKI, Osimertinib.",YES
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,"For patients with stage IV NSCLC and PD-L1 TPS ≥50% without targetable driver mutations, the first-line treatment is typically **single-agent immunotherapy**, most commonly a PD-1 inhibitor such as **pembrolizumab**.",YES
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,Combination therapy (pembrolizumab + chemotherapy) is generally the preferred first-line treatment for Stage IV squamous NSCLC with PD-L1 1-49%. Single-agent pembrolizumab is typically preferred for PD-L1 ≥50%.,NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,"For stage IV NSCLC with PD-L1 TPS of 0, assuming no actionable driver mutations are found, the recommended therapy is typically **combination chemotherapy with immunotherapy**.

The specific regimen depends on histology (squamous vs. non-squamous).",NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.","The main first-line options are:

1.  **Pembrolizumab (Keytruda) monotherapy.**
2.  **Pembrolizumab combined with chemotherapy** (typically carboplatin and taxane).
3.  **Immunotherapy combinations** such as nivolumab (Opdivo) plus ipilimumab (Yervoy).",NO
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,"The recommended adjuvant therapy is an EGFR tyrosine kinase inhibitor (TKI), specifically **osimertinib for 3 years**.",YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,"After surgery, patients with Stage II-IIIA NSCLC and PD-L1 expression ≥1% should typically receive adjuvant chemotherapy (if indicated) followed by adjuvant atezolizumab for 1 year.",YES
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,Adjuvant platinum-based doublet chemotherapy is the standard therapy.,YES
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,"This scenario is based on an inconsistency in TNM staging. Stage IB NSCLC (T2a N0 M0) is defined by a tumor size of ≤4 cm. A tumor ≥4 cm would place the stage as at least IIA (T2b N0 M0) or higher.

Osimertinib is recommended as adjuvant therapy for resected Stage IB-IIIA (T2a/T2b N0 M0 included, where T2a≤4cm and T2b >4cm) NSCLC with EGFR mutation.

Therefore, while osimertinib *is* recommended for resected Stage IIA (which would include tumors ≥4 cm) with EGFR mutation, the premise of Stage IB with a tumor ≥4 cm is not consistent with current staging guidelines.",NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,"The recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease is typically **chemotherapy plus immunotherapy**, followed by surgery. Concurrent chemoradiotherapy followed by surgery is also an option in some cases, but chemo-immunotherapy is increasingly preferred based on recent data.",NO
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,Concurrent chemoradiation therapy followed by consolidation immunotherapy (durvalumab) for eligible patients.,YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,The standard evidence-based radiation dose for stage III NSCLC treated with concurrent chemoradiation is **60 Gy in 30 fractions**. Higher doses have not shown a survival benefit and increase toxicity.,YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,The standard length is 12 months.,YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib","Yes, adjuvant chemotherapy is still commonly offered for stage III disease, often followed by adjuvant EGFR TKI (like osimertinib) based on current guidelines and trial data (like ADAURA).",YES
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,The maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma is **12 months**.,NO
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.","Surgery to remove all resectable disease, followed by adjuvant systemic therapy (immunotherapy or targeted therapy for BRAF-mutated tumors).",NO
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,Single-agent anti-PD-1 re-treatment is generally avoided.,NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,"The primary systemic therapy option specifically for HLA-A*02:01 positive patients with metastatic uveal melanoma is **tebentafusp**.

Other systemic treatments like immune checkpoint inhibitors (e.g., ipilimumab/nivolumab) may also be considered but are not dependent on HLA type.",YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,"For brain metastases less than 2 cm, the suggested radiation dose for single-fraction stereotactic radiosurgery (SRS) is typically **24 Gy**.",YES
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,Surgery is generally preferred over SRS for brain metastases larger than **~3 cm**.,NO
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,"Yes, local therapy, particularly stereotactic radiosurgery (SRS), is frequently offered and is a standard management option for asymptomatic brain metastases from EGFR-mutant NSCLC.

While initial treatment with systemic EGFR TKIs alone is also a valid approach for some patients with asymptomatic lesions, local therapy provides durable control and is part of a multidisciplinary management strategy. The decision depends on factors like the number, size, and location of metastases, as well as patient preference.",NO
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,"For unresected brain metastases, SRS is typically chosen over WBRT for a **limited number of lesions, commonly considered 1-4**.

Increasingly, the use of SRS is expanding to include patients with 5-10 or even more lesions, depending on total tumor volume and other clinical factors.",YES
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,"Generally, no.

For patients with KPS ≤ 50, the prognosis is very poor, and the potential benefits of radiation therapy (like symptom control or survival extension) are unlikely to outweigh the treatment burden and limited life expectancy. Palliative care is typically the priority.",YES
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,Common alternatives often involve using Temozolomide (TMZ) chemotherapy (potentially alone to delay radiation) or considering targeted therapies like Vorasidenib.,NO
"What alternative therapy is available for glioblastoma, IDH-wildtype, with poor prognosis?",Hypofractionated RT with TMZ or supportive care are reasonable options.,"For glioblastoma, IDH-wildtype, with poor prognosis, **experimental therapies via clinical trials** are the primary alternative avenue to standard treatment.

Other approaches often explored are **complementary therapies** (like specific diets or supplements), but their direct efficacy against the tumor is largely unproven and should be discussed with the medical team due to potential interactions.",NO
