question,expected_answer,oai_answer,oai_match
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,"The first-line treatment for patients with stage IV non-small cell lung cancer (NSCLC) and PD-L1 tumor proportion score (TPS) ≥50% is **pembrolizumab monotherapy**, provided there are no contraindications to immune checkpoint inhibitors.",YES
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,"Yes, single-agent pembrolizumab is an appropriate first-line treatment for stage IV squamous NSCLC with PD-L1 expression ≥1%, including 32%, provided there are no contraindications.",NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,"The recommended therapy for stage IV non-small cell lung cancer (NSCLC) with PD-L1 tumor proportion score (TPS) of 0% typically involves **platinum-based chemotherapy** (e.g., carboplatin or cisplatin combined with pemetrexed for nonsquamous histology or with paclitaxel for squamous histology). In some cases, **combination chemo-immunotherapy** (e.g., adding atezolizumab or bevacizumab) may also be considered based on patient factors and guidelines.",NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.","For patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%, options include:

1. **Immune checkpoint inhibitors (ICIs) as monotherapy**: Pembrolizumab or atezolizumab.
2. **ICIs combined with chemotherapy**: Pembrolizumab plus platinum-based chemotherapy.
3. **Clinical trials**: If available and appropriate.

Treatment choice depends on patient factors, comorbidities, and preferences.",YES
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,"The recommended adjuvant therapy for completely resected stage I-IIIA non-small cell lung cancer (NSCLC) with EGFR mutations is **osimertinib**, a third-generation EGFR tyrosine kinase inhibitor (TKI).",YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,"Stage II-IIIA NSCLC patients with PD-L1 expression ≥1% should be managed with adjuvant atezolizumab following surgery and platinum-based chemotherapy, as per current guidelines and evidence.",YES
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,The adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1 typically includes **platinum-based chemotherapy**.,YES
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,"Yes, osimertinib can be recommended for stage IB NSCLC with tumors ≥4 cm and EGFR mutation, as it has shown benefit in reducing recurrence risk in early-stage EGFR-mutated NSCLC based on clinical trial data (e.g., ADAURA trial). However, treatment decisions should be individualized.",NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,"The recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease typically includes **platinum-based chemotherapy**, with or without concurrent **radiotherapy**, and in some cases, **immunotherapy** (e.g., checkpoint inhibitors) may be considered based on emerging evidence and clinical trial data.",YES
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,"The management for medically inoperable stage III non-small cell lung cancer (NSCLC) typically involves definitive concurrent chemoradiation therapy, followed by consideration of consolidation immunotherapy with durvalumab if there is no disease progression after treatment.",YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,"The evidence-based radiation dose for stage III non-small cell lung cancer (NSCLC) treated with concurrent chemoradiation is 60 Gy in 2 Gy fractions, as established by the RTOG 0617 trial. Higher doses (e.g., 74 Gy) were associated with worse outcomes.",YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,"The length of consolidation immunotherapy for patients with stage III NSCLC who have completed chemoradiation is typically **up to 12 months** with durvalumab, as per the PACIFIC trial.",YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib","Yes, adjuvant chemotherapy should still be offered to patients with resected stage III NSCLC and EGFR mutation, as it remains the standard of care to reduce recurrence risk, even if adjuvant EGFR-targeted therapy (e.g., osimertinib) is planned.",NO
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,The maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma is **up to 1 year (17 cycles)**.,NO
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.","The recommended therapy for resectable stage IIIB-IV cutaneous melanoma is surgical resection followed by adjuvant immunotherapy, such as anti-PD-1 agents (nivolumab or pembrolizumab).",NO
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,"In BRAF-mutant unresectable melanoma after progression on anti-PD-1 therapy, **anti-PD-1 monotherapy** or **anti-CTLA-4 monotherapy** should generally be avoided, as they are unlikely to be effective. Combination BRAF/MEK inhibitors may be considered instead.",NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,"For HLA-A*02:01-positive patients with metastatic uveal melanoma, tebentafusp, a bispecific T-cell receptor therapy, is a key treatment option. Other therapies may include immune checkpoint inhibitors, liver-directed therapies, and clinical trials exploring novel agents.",YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,"For brain metastases less than 2 cm in size, a stereotactic radiosurgery (SRS) dose of **24 Gy in a single fraction** is commonly recommended.",YES
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,"Surgery is generally preferred over Stereotactic Radiosurgery (SRS) for brain metastases when the tumor size exceeds 3-4 cm, as larger tumors may cause significant mass effect or edema that requires surgical decompression.",YES
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,"Yes, local therapy (e.g., stereotactic radiosurgery) can be considered for asymptomatic brain metastases from EGFR-mutant NSCLC, but systemic therapy with EGFR TKIs is often prioritized initially due to their efficacy in controlling both systemic and CNS disease.",NO
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,"Stereotactic radiosurgery (SRS) is generally preferred over whole-brain radiotherapy (WBRT) for patients with up to 4 unresected brain metastases, based on current guidelines and evidence.",YES
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,"Radiation therapy is generally not recommended for patients with a Karnofsky Performance Status (KPS) ≤ 50 and brain metastases, as the potential benefits are often outweighed by the risks and poor prognosis. However, decisions should be individualized based on factors like symptom control and patient preferences.",NO
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,"An alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, in cases of toxicity concerns may include **radiation therapy alone** or **temozolomide monotherapy**, depending on the patient's condition and physician's assessment.",NO
