question,expected_answer,generated_answer,expected_guideline,generated_guideline,guideline_match,answer_correct
"What is the recommendation for first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer?",The addition of immune checkpoint inhibitors (atezolizumab or pembrolizumab) to chemotherapy is recommended.,"Based on the provided information, I can give a clear final answer:

For first-line treatment of triple-negative, PD-L1-positive metastatic breast cancer, the recommended treatment is the addition of immune checkpoint inhibitor to chemotherapy, specifically:
- Atezolizumab plus nab-paclitaxel, OR
- Pembrolizumab plus chemotherapy

This recommendation is supported by strong clinical evidence from two major trials:
1. IMpassion130: showed improved progression-free survival and overall survival with atezolizumab plus nab-paclitaxel
2. KEYNOTE-355: demonstrated benefit with pembrolizumab plus chemotherapy in patients with CPS ≥10

Important considerations before initiating treatment:
- Evaluate individual patient risk for immune-related adverse events
- Screen for autoimmune conditions
- Note that atezolizumab should specifically be used with nab-paclitaxel, not regular paclitaxel
- Consider the specific PD-L1 testing method used for patient selection

This is a strong recommendation with moderate quality evidence, where the benefits outweigh the potential harms. TERMINATE",breast_cancer_12,breast_cancer_12,TRUE,YES
"What is the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer?",Single-agent chemotherapy is preferred,"After reviewing the provided information, I can provide a clear answer about the preferred treatment for triple-negative, PD-L1-negative metastatic breast cancer:

The preferred first-line treatment is single-agent chemotherapy rather than combination chemotherapy. However, treatment should be individualized based on specific circumstances:

Key points about the treatment approach:

1. Single-agent chemotherapy is the standard approach, but combination chemotherapy may be considered in specific situations:
- When disease is symptomatic
- When disease is immediately life-threatening
- When there may only be one chance for therapy

2. Regarding the choice of chemotherapy:
- Either platinum-based or nonplatinum-based regimens can be used
- The selection should be individualized based on:
  * Patient preferences
  * Risk assessment
  * Benefit evaluation

It's important to note that while platinum-based regimens show similar efficacy (comparable 1-year death rates), they are associated with higher rates of grade 3-4 toxicities, particularly nausea/vomiting and anemia.

This recommendation is supported by moderate-quality evidence and carries a strong recommendation strength, with benefits outweighing potential harms. TERMINATE",breast_cancer_12,breast_cancer_12,TRUE,YES
"What therapies are recommended for HR-positive HER2-negative metastatic breast cancer with BRCA mutations, who have progressed on endocine therapy?",Oral PARP inhibitors (olaparib or talazoparib) are recommended ,"I'll review this information and provide a clear final answer to your question.

The recommended therapies for HR-positive HER2-negative metastatic breast cancer patients with BRCA mutations who have progressed on endocrine therapy are:

Primary Treatment Option:
- PARP inhibitors (olaparib or talazoparib) are recommended over chemotherapy in the first through third-line setting
- This recommendation has strong strength based on moderate quality evidence

The recommendation is supported by clinical trials:
- EMBRACA trial showed improved progression-free survival with talazoparib (HR 0.47)
- While OlympiAD trial with olaparib showed comparable results to chemotherapy (HR 0.91)

Key advantages of PARP inhibitors:
1. Lower toxicity profile compared to chemotherapy
2. Can be used after 1-2 prior lines of endocrine therapy

Important considerations:
- Genetic testing is required
- Access to specialty pharmacy services is needed
- Patient support programs (foundation support, drug vouchers, copay assistance) may be necessary
- Comparative efficacy against specific chemotherapies (taxanes, platinum agents) remains uncertain

TERMINATE",breast_cancer_12,breast_cancer_12,TRUE,YES
"For patients with  HR-positive, HER2-negative who develop recurrence within one year of adjuvant AI therapy, what is the recommended in replacment of AI?",Fulvestrant or CDK4/6 inhibitors should be offered,"Based on the provided information, I can provide a clear answer:

For patients with HR-positive, HER2-negative breast cancer who develop recurrence within one year of adjuvant AI therapy, the recommended replacement therapy is the combination of fulvestrant plus a CDK4/6 inhibitor. This recommendation:
- Has strong supporting evidence and a high strength of recommendation
- Can be given as first-line therapy
- Can be administered with or without one line of prior chemotherapy for metastatic disease
- Is applicable only for patients without prior exposure to CDK4/6 inhibitors in the metastatic setting

This combination therapy has demonstrated:
- Significant improvements in progression-free survival
- Better overall survival in chemotherapy-naive patients
- Maintained or improved quality of life
- Good tolerability

TERMINATE",breast_cancer_13,breast_cancer_13,TRUE,NO
"When is sentinel lymph node biopsy not required for patients with early-stage hormone receptor-positive, HER2-negative invasive breast cancer?",Sentinel lymph node biopsy is not required for clinically node-negative women aged ≥70 years who will receive hormonal therapy.,"I'll provide a clear and concise final answer based on the pdf_viewer's output.

Sentinel lymph node biopsy (SLNB) can be omitted in patients who meet ALL of the following criteria:
1. Age 70 years or older
2. Clinically node-negative (T1N0) early-stage invasive breast cancer
3. Hormone receptor-positive tumor
4. HER2-negative tumor
5. Will receive hormonal therapy

However, it's important to note that:
- This is an option to discuss, not a mandate
- A medical oncology consultation should occur before surgery to discuss hormonal therapy
- The decision should be individualized through shared decision-making
- The patient should be clinically node-negative based on physical examination
- The benefits and limitations of omitting SLNB should be discussed with the patient

TERMINATE",breast_cancer_14,breast_cancer_14,TRUE,NO
How should axillary treatment be approached for patients undergoing mastectomy with 1-2 positive sentinel nodes?,"Postmastectomy radiation to the axilla is recommended, and axillary lymph node dissection can be safely omitted.","I'll review this response and provide a clear final answer.

The response from the PDF viewer provides a comprehensive and clear recommendation for axillary treatment in patients undergoing mastectomy with 1-2 positive sentinel nodes. The answer is complete and evidence-based.

Here's the final answer:

For patients undergoing mastectomy with 1-2 positive sentinel nodes, the recommended approach is:

Primary Recommendation:
- Postmastectomy radiation therapy (PMRT) to the axilla with omission of axillary lymph node dissection (ALND)

Alternative Options (for patients declining PMRT):
- Radiation to the axilla alone (without chest wall treatment) OR
- Completion ALND

Important considerations:
1. These are weak recommendations based on low-quality evidence and informal consensus
2. Treatment decisions should be individualized through shared decision-making
3. Patient preferences and circumstances should be carefully considered
4. Clinical factors should be evaluated on a case-by-case basis

TERMINATE",breast_cancer_14,breast_cancer_14,TRUE,YES
What are the recommendations for radiotherapy after neoadjuvant chemotherapy in node-positive early-stage breast cancer?,Locoregional nodal irradiation is recommended,"Based on the provided information, I can formulate a clear answer to your question about radiotherapy recommendations after neoadjuvant chemotherapy in node-positive early-stage breast cancer:

The key recommendations are:

1. For Postmastectomy Patients:
- Postmastectomy radiation therapy (PMRT) should be offered after completion of axillary lymph node dissection (ALND)
- Locoregional nodal irradiation (LRNI) is recommended for this group

2. For Breast Conservation Surgery Patients:
- LRNI is recommended after ALND for those who were initially node-positive and remain pathologically node-positive after NAC

Important considerations:
- These recommendations are considered evidence-based but have low-quality evidence and weak strength of recommendation
- Treatment decisions should involve shared decision-making with patients
- The current clinical standard for node-positive patients who don't respond to NAC involves maximal therapy to the axilla (ALND followed by LRNI)
- These recommendations may be modified when results from ongoing trials (MAC19 and NSABP B51) become available

TERMINATE",breast_cancer_14,breast_cancer_14,TRUE,YES
"What is the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer?",Patients should receive neoadjuvant therapy with an anthracycline and taxane-based regimen in combination with trastuzumab and pertuzumab.,"Based on the provided information, I can provide a clear answer regarding the recommended neoadjuvant therapy for HER2-positive, node-positive breast cancer:

The recommended neoadjuvant therapy consists of two main options:

1. ACTH: Anthracycline and taxane regimen plus trastuzumab
OR
2. TCH: Non-anthracycline based regimen plus trastuzumab

Important additional points:
- Pertuzumab can be added to either regimen (becoming ACTH+P or TCH+P)
- This is a strong recommendation with high-quality evidence
- The addition of pertuzumab has shown improved pathologic complete response (pCR) rates, though the benefit in terms of disease-free survival is modest (4.5% improvement in node-positive patients)
- Dual HER2-targeted therapy (trastuzumab + pertuzumab) shows greater pCR rates than single-agent therapy
- The greatest benefit is seen in patients with node-positive disease and hormone receptor-negative disease

The choice between these regimens can be individualized based on patient factors and risk considerations. TERMINATE",breast_cancer_15,breast_cancer_15,TRUE,YES
"How should neoadjuvant endocrine therapy be used in HR-positive, HER2-negative early-stage breast cancer?","For postmenopausal patients, neoadjuvant endocrine therapy with an aromatase inhibitor may be offered to increase surgical options.","Based on the provided information, I can formulate a clear answer about the use of neoadjuvant endocrine therapy in HR-positive, HER2-negative early-stage breast cancer:

Neoadjuvant endocrine therapy recommendations differ based on menopausal status:

For postmenopausal women:
- Can be offered aromatase inhibitors to increase locoregional treatment options
- Shows clinical responses comparable to chemotherapy
- May be used for disease control if surgery is not planned

For premenopausal women:
- Not recommended for routine use outside of clinical trials
- Shows inferior response rates compared to chemotherapy

Key implementation points:
1. Duration typically ranges from 3-6 months, though optimal duration isn't definitively established
2. Requires regular monitoring through clinical examinations and imaging as needed
3. Best candidates are postmenopausal patients seeking breast conservation
4. Treatment decisions should be made in a multidisciplinary setting
5. Can be considered for patients who are poor candidates for chemotherapy

The treatment should be individualized based on clinical status and response, with regular monitoring to assess effectiveness. TERMINATE",breast_cancer_15,breast_cancer_15,TRUE,YES
What is the recommendation for first-line therapy for esophageal SCC with PD-L1 TPS≥1%?,Administer nivolumab plus fluoropyrimidine- and platinum-based chemotherapy.,"Based on the provided information, I can formulate a clear answer to your question about first-line therapy recommendations for esophageal SCC with PD-L1 TPS≥1%.

For patients with esophageal SCC and PD-L1 TPS≥1%, there are two recommended first-line therapy options:

1. Nivolumab plus fluoropyrimidine- and platinum-based chemotherapy (preferred)
2. Nivolumab plus ipilimumab (alternative option)

Both recommendations are supported by data from the CheckMate 648 trial and carry a strong recommendation with moderate quality evidence. It's worth noting that if TPS testing is not available, CPS≥1 may be used as an alternative threshold for treatment decision-making.

TERMINATE",gi_cancer_2,gi_cancer_2,TRUE,YES
When is ramucirumab plus paclitaxel recommended?,For advanced gastroesophageal cancer patients progressing after first-line therapy.,"Based on the provided information, I can give a clear answer:

Ramucirumab plus paclitaxel is recommended as a second-line treatment for patients with advanced gastroesophageal or gastroesophageal junction (GEJ) adenocarcinoma whose disease has progressed after first-line therapy. This recommendation is supported by strong clinical evidence from the RAINBOW phase III RCT, which demonstrated significant improvements in both overall survival and progression-free survival, despite an increase in grade 3-5 adverse events. TERMINATE",gi_cancer_2,gi_cancer_2,TRUE,YES
What is recommended for HER2-positive gastric cancer patients after progression on first-line therapy?,Trastuzumab deruxtecan is recommended.,"Based on the provided information, I can provide a clear answer to your question:

For HER2-positive gastric cancer patients who have progressed after first-line therapy, trastuzumab deruxtecan is strongly recommended. This recommendation is based on solid clinical evidence, particularly from the DESTINY-Gastric01 phase II trial, which demonstrated:
- Significant improvement in overall survival
- Better progression-free survival
- Though there were higher grade 3-4 adverse events compared to chemotherapy

Key points to note:
1. While the primary evidence comes from third-line setting studies, this treatment is FDA-approved for both second-line and later therapy.
2. The recommendation applies to patients with HER2-positive tumors (both IHC 3+ and IHC 2+ with positive ISH).
3. Treatment decisions should involve shared decision-making, considering:
   - Individual patient experience
   - Treatment tolerance
   - Performance status

The recommendation carries a strong strength rating with moderate quality evidence, and the benefits are determined to outweigh the harms. TERMINATE",gi_cancer_2,gi_cancer_2,TRUE,YES
Should adjuvant chemotherapy be recommended for stage II colon cancer patients with dMMR/MSI tumors?,Adjuvant fluoropyrimidine-only chemotherapy is not recommended.,"After reviewing the provided information, I can provide a clear answer:

No, adjuvant chemotherapy should NOT be routinely recommended for stage II colon cancer patients with dMMR/MSI tumors. This recommendation is supported by strong evidence and several key points:

1. The evidence shows that fluoropyrimidine-only chemotherapy provides no significant benefit in this population:
- No difference in Disease-Free Survival (HR 0.89)
- No difference in Overall Survival (HR 1.03)

2. The recommendation against routine chemotherapy is particularly strong because:
- dMMR/MSI tumors have about half the recurrence risk compared to pMMR/MSS tumors
- These tumors generally have higher survival rates
- The harms of chemotherapy outweigh the benefits

However, there is one important exception:
Patients with dMMR/MSI tumors who have T4 tumors and/or other high-risk features (excluding poor differentiation) may be considered for oxaliplatin-containing chemotherapy, but this should be discussed through shared decision-making.

TERMINATE",gi_cancer_4,gi_cancer_4,TRUE,YES
Should adjuvant chemotherapy be offered for low-risk stage II colon cancer patients?,ACT is not routinely recommended.,"Based on the provided information, I can give a clear answer to your question:

No, adjuvant chemotherapy should not be routinely offered to low-risk stage II colon cancer patients. This recommendation is supported by the ASCO guidelines and is based on several key factors:

1. There is no significant survival benefit demonstrated in low-risk patients
2. The potential risks and adverse events outweigh the minimal potential benefits
3. This applies to patients with:
   - Stage IIA (T3) tumors with ≥12 sampled lymph nodes
   - No perineural or lymphovascular invasion
   - No poor/undifferentiated tumor grade
   - No clinical intestinal obstruction
   - No tumor perforation
   - Less than grade BD3 tumor budding

It's important to note that this recommendation:
- Applies regardless of age (even in younger patients)
- Still allows for individual case consideration through shared decision-making
- Is based on low-quality evidence but reflects a conservative approach to avoid unnecessary treatment

TERMINATE",gi_cancer_4,gi_cancer_4,TRUE,YES
What is the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer?,"3 or 6 months, decided based on patient preference and potential for adverse events.","Based on the provided information, I can give a clear answer about the duration of oxaliplatin-based chemotherapy for high-risk stage II colon cancer:

The duration can be either 3 or 6 months, but the specific recommendation depends on the chemotherapy regimen used:

For CAPOX (capecitabine and oxaliplatin):
- 3 months is considered reasonable as it shows similar efficacy to 6 months (5-year DFS rates: 81.7% vs 82.0%)
- 3 months has the advantage of reduced toxicity

For FOLFOX (fluorouracil, leucovorin, and oxaliplatin):
- 6 months is preferred as it shows better outcomes (5-year DFS rates: 86.5% vs 79.2%)

The final decision on duration should be made through shared decision-making, taking into account:
- The specific chemotherapy regimen being used
- Risk of peripheral neuropathy (13% with 3 months vs 36% with 6 months)
- Patient preferences and tolerability

TERMINATE",gi_cancer_4,gi_cancer_4,TRUE,YES
What chemotherapy is recommended as radiosensitizer for stage I-III anal SCC?,Mitomycin-C with fluorouracil (FU) or capecitabine.,"Based on the comprehensive information provided, I will formulate a clear answer about recommended radiosensitizing chemotherapy for stage I-III anal SCC:

The recommended radiosensitizing chemotherapy regimens are:

First-line option:
- Mitomycin-C (MMC) combined with a fluoropyrimidine (either fluorouracil [FU] or capecitabine)

Alternative option:
- Cisplatin combined with fluorouracil (FU)

Important considerations:
1. For immunosuppressed patients, cisplatin with FU is preferred due to lower risk of myelosuppression
2. Cisplatin is contraindicated in patients with:
   - Renal dysfunction
   - Significant neuropathy
   - Hearing loss
3. Capecitabine can be used as an oral alternative to FU
4. Carboplatin substitution for cisplatin is not supported by evidence

TERMINATE",gi_cancer_1,gi_cancer_1,TRUE,YES
How should patients with BRAF V600E-mutant mCRC receive after prior chemotherapy?,Encorafenib plus cetuximab is recommended.,"Based on the comprehensive information provided, I can formulate a clear answer to the question:

Patients with BRAF V600E-mutant metastatic colorectal cancer who have received prior chemotherapy should be treated with encorafenib plus cetuximab. This is a strong, evidence-based recommendation supported by the BEACON phase III trial, which demonstrated:

1. Significant survival benefits:
- Improved overall survival
- Improved progression-free survival
- Higher objective response rate

2. Better safety profile with fewer grade 3 or greater adverse events compared to control treatment

This combination therapy should be offered to patients whose disease has progressed after at least one previous line of therapy. The recommendation applies to the approximately 8% of mCRC patients who have BRAF V600E mutations, a group that typically has a poorer prognosis.

Note: Panitumumab can be used as an alternative to cetuximab in combination with encorafenib. TERMINATE",gi_cancer_3,gi_cancer_3,TRUE,YES
Should anti-EGFR be added as the first-line therapy for RAS mutatnt left-sided mCRC?,"No,  anti-EGFR is added for RAS wild type left-sided mCRC","Based on the provided information from the guidelines, I can provide a clear answer:

No, anti-EGFR therapy should NOT be added as first-line therapy for RAS mutant left-sided mCRC. This is definitively stated in the guidelines, which explicitly contraindicate anti-EGFR therapy for any RAS-mutant mCRC, regardless of tumor location.

For patients with RAS-mutant mCRC, the recommended first-line treatment options instead are:
1. Doublet chemotherapy (FOLFOX or FOLFIRI) with bevacizumab
2. Triplet chemotherapy (FOLFOXIRI) with bevacizumab in select patients

This recommendation is based on established evidence that RAS mutations predict resistance to anti-EGFR therapy, making these agents ineffective in this patient population.

TERMINATE",gi_cancer_3,gi_cancer_3,TRUE,YES
When is stereotactic body radiation therapy recommended for liver oligometastases in mCRC?,It may be recommended after systemic therapy if resection is not feasible.,"Based on the review of the provided information and the responses from the pdf_viewer, I can provide a final answer:

The ASCO guidelines available in our reference material do not specifically address when stereotactic body radiation therapy (SBRT) is recommended for liver oligometastases in metastatic colorectal cancer (mCRC). While there are guidelines covering metastatic colorectal cancer treatment (GI_cancer_3), they focus primarily on systemic therapy options and general treatment approaches rather than radiation therapy for oligometastatic disease. For specific recommendations regarding SBRT in this clinical scenario, healthcare providers should consult other professional society guidelines, particularly those from ASTRO (American Society for Radiation Oncology), or seek guidance from radiation oncology specialists. TERMINATE",gi_cancer_3,gi_cancer_3,TRUE,NO
How long is the healing period from dental procedure before radiation therapy for head and neck cancer patients to prevent osteoradionecrosis (ORN)?,Ensure at least a 2-week healing period when possible.,"After reviewing the response, I can provide a clear answer to your question about healing period between dental procedures and radiation therapy for head and neck cancer patients:

The recommended healing period is 2 weeks between dental extraction and the start of radiation therapy. However, this recommendation comes with important caveats:

1. This 2-week period should only be observed when it will NOT compromise cancer treatment outcomes.
2. If there is a rapidly progressing tumor, radiation therapy should not be delayed for dental procedures.
3. In cases where 1-2 weeks healing time is not available, but teeth within the planned radiation field need removal, extraction should still proceed.

It's crucial to understand that oncologic control takes priority over the ideal healing period. The recommendation is based on moderate-strength evidence, and clinical decisions should be individualized based on the specific situation of each patient. TERMINATE",headneck_cancer_1,headneck_cancer_1,TRUE,YES
What are the surgical recommendations for advanced-stage ORN in head and neck cancer patients?,"For advanced ORN, surgical debridement or resection with vascularized bone reconstruction is recommended to restore function and manage complications.","Based on the provided information, I can formulate a clear final answer regarding surgical recommendations for advanced-stage ORN in head and neck cancer patients:

The primary surgical recommendations for advanced-stage ORN are:

1. Primary Treatment Approach:
- Segmental maxillectomy or mandibulectomy with free flap reconstruction
- This approach has demonstrated high success rates of approximately 90%

2. Reconstruction Options:
- Osteomyocutaneous free flaps are preferred for mandibular continuity defects
- For maxillectomy defects:
  * Either myocutaneous or osteomyocutaneous flaps
  * Osteomyocutaneous flaps are preferred if dental implantation is planned
  * Prosthetic obturation for patients unsuitable for microvascular surgery

3. Surgical Planning Considerations:
- Preoperative radiographic assessment is essential
- Resection borders should be guided by intraoperative bleeding bone endpoint
- Flexible planning is needed to accommodate intraoperative findings

4. Alternative Approaches for Medically Compromised Patients:
- Focus on symptom management
- Limited interventions such as removal of superficial bony sequestra
- Combined approach with systemic therapy to reduce disease burden

5. Important Considerations:
- Free flaps are preferred over pedicle flaps due to better versatility and outcomes
- Complication rates range from 20-47%, including wound infection and fistulation
- Treatment plans must be individualized based on patient factors and medical status

TERMINATE",headneck_cancer_1,headneck_cancer_1,TRUE,YES
Should immunotherapy single agent be initiated in metastatic head and neck squamous cell carcinoma (HNSCC) with PD-L1 < 1?,"No, combination therapy is preferred for CPS <1.","Based on the provided information from the guidelines, I can provide a clear answer:

No, single agent immunotherapy should not be initiated as first-line treatment in metastatic HNSCC with PD-L1 CPS < 1%. Instead:

For first-line treatment:
- The recommended approach is combination therapy with pembrolizumab + platinum + 5-FU
- Alternatively, cetuximab + chemotherapy can be considered

However, it's important to note that single agent immunotherapy (pembrolizumab or nivolumab) does have a role in the second-line setting after platinum failure, regardless of PD-L1 status.

TERMINATE",headneck_cancer_2,headneck_cancer_2,TRUE,YES
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,"Based on the provided information, I can give a clear summary of the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC:

The guidelines strongly recommend offering either pembrolizumab or nivolumab to patients with platinum-refractory recurrent or metastatic HNSCC, regardless of their CPS (Combined Positive Score) status. This is a strong, evidence-based recommendation with high-quality evidence supporting it.

Key points:
1. This applies to patients who have disease progression within 6 months after platinum-based chemotherapy
2. Both medications are FDA-approved for this indication regardless of PD-L1 expression status
3. Clinical trials showed significant survival benefits:
   - Pembrolizumab: 8.4 months overall survival
   - Nivolumab: 7.5 months overall survival
4. Both treatments showed lower rates of grade 3 and 4 adverse events compared to standard care
5. The survival benefit is independent of HPV status or PD-L1 expression

Important note: While combination therapies have been studied, no combination therapy has yet become standard of care in platinum-refractory disease. Single-agent immunotherapy remains the recommended approach.

TERMINATE",headneck_cancer_2,headneck_cancer_2,TRUE,YES
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.","Based on the provided information, I can formulate a clear answer regarding PD-L1 biomarker testing recommendations in recurrent/metastatic HNSCC:

PD-L1 immunohistochemistry testing is strongly recommended for patients with recurrent or metastatic HNSCC (high quality evidence). The specific recommendations are:

1. Testing should be performed using Combined Positive Score (CPS) as the preferred scoring method
2. A CPS ≥ 1 should be interpreted as positive
3. Testing should be completed before initiating first-line therapy to guide treatment selection between:
   - Pembrolizumab monotherapy
   - Pembrolizumab + chemotherapy
   - Chemotherapy alone

The CPS method calculates the number of PD-L1 positive tumor cells, lymphocytes, and macrophages divided by total tumor cells x 100. This lower threshold (CPS ≥ 1) is preferred over higher cutoffs to maximize sensitivity and is strongly correlated with clinical benefit to PD-1 inhibitors.

TERMINATE",headneck_cancer_2,headneck_cancer_2,TRUE,YES
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,"Based on the comprehensive information provided, I can provide a clear answer about the integration of radiation therapy with immunotherapy for recurrent HNSCC:

Yes, radiation therapy can be integrated with immunotherapy for recurrent HNSCC, but with specific limitations and considerations:

1. Safety: Concurrent radiation therapy and immunotherapy is considered safe for patients with oligometastatic HNSCC.

2. Approved Uses:
- Can be used for palliation
- Can be used for local control

3. Important Restrictions:
- Should NOT be used to enhance response to immunotherapy outside of clinical trials
- This recommendation is supported by moderate quality evidence

4. Supporting Evidence:
- Based on randomized phase II trial results showing:
  * No significant difference in overall response rates
  * No improvement in progression-free survival
  * No enhancement in overall survival
  * No significant increase in adverse events

5. Current Status:
- Multiple ongoing clinical trials (at least 8) are still evaluating this combination
- Current evidence shows safety but no enhancement of immunotherapy effects

The key takeaway is that while the combination is safe, it should only be used for palliative or local control purposes, not with the expectation of enhancing immunotherapy responses unless part of a clinical trial. TERMINATE",headneck_cancer_2,headneck_cancer_2,TRUE,YES
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.","I'll provide a clear final answer based on the guidelines:

PARP inhibitor recommendations for newly diagnosed advanced (stage III-IV) ovarian cancer patients who have responded to first-line platinum-based chemotherapy are stratified by biomarker status:

1. For BRCA1/2 mutation carriers (germline or somatic):
- Olaparib: 300 mg twice daily for 2 years
- Niraparib: 200-300 mg daily for 3 years
- Rucaparib: 600 mg twice daily for 2 years

2. For HRD positive patients (using FDA-approved testing):
- Rucaparib or niraparib are recommended

3. For BRCA wild-type/HRD negative patients:
- Niraparib or rucaparib may be offered

Extended treatment duration beyond these timeframes may be considered for select patients after discussing risks and benefits.

These recommendations are supported by high-quality evidence and carry a strong strength of recommendation, specifically for high-grade serous or endometrioid ovarian cancer patients. TERMINATE",gynecologic_cancer_1,gynecologic_cancer_1,TRUE,YES
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,"Based on the provided information, I can formulate a clear answer about the effect of PARP inhibitors (specifically niraparib) on overall survival in recurrent ovarian cancer patients without BRCA mutations:

The evidence suggests a potentially negative effect on overall survival in these patients:

1. In non-BRCA mutant patients:
- Median OS was actually shorter with niraparib (31.1 months) compared to placebo (36.5 months)
- Hazard ratio of 1.10 (95% CI, 0.83 to 1.46) indicates a trend toward worse survival

2. In non-BRCA mutant/HRD-positive subgroup:
- Similar negative trend with median OS of 37.3 months for niraparib vs 41.4 months for placebo
- Hazard ratio of 1.32 (95% CI, 0.84 to 2.06) suggests a possible survival detriment

These findings have led to clinical recommendations that healthcare providers should carefully weigh the progression-free survival benefits against the potential overall survival detriment when considering niraparib maintenance therapy in these patient populations. However, it's important to note that these results should be interpreted with caution due to study limitations including:
- The study not being powered for OS analysis
- High rates of crossover
- Missing data
- Statistical design considerations (one-sided α-level of 0.025)

TERMINATE",gynecologic_cancer_1,gynecologic_cancer_1,TRUE,YES
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,"Based on the provided information, I can formulate a clear answer about the effect of PARP inhibitors on PFS in non-BRCA mutated/non-HRD positive recurrent ovarian cancer:

PARP inhibitors do show a modest improvement in progression-free survival for these patients. Specifically, the ATHENA-MONO trial demonstrated that rucaparib maintenance therapy extended median PFS to 12.1 months compared to 9.1 months with placebo in HRD-negative patients (HR: 0.65, 95% CI: 0.45-0.95). However, this PFS benefit must be carefully weighed against important safety concerns:

1. There are emerging safety signals showing potential overall survival detriments in some studies
2. The evidence quality for using PARP inhibitors in this population is considered ""low""
3. These agents should only be considered for maintenance therapy (not treatment) in patients who:
   - Have not previously received a PARP inhibitor
   - Have responded to platinum-based therapy

The current recommendation emphasizes that treatment decisions should be individualized, with careful consideration of the risk-benefit ratio for each patient. TERMINATE",gynecologic_cancer_1,gynecologic_cancer_1,TRUE,YES
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.","Based on the pdf viewer's response, I can provide a clear answer to your question about the surgical approach for T3-T4 parotid cancers with high-grade malignancy:

The recommended surgical approach consists of multiple key components:

1. Primary Surgery:
- Minimum of superficial parotidectomy
- Total or subtotal parotidectomy should be considered

2. Mandatory Neck Management:
- Ipsilateral selective neck dissection (levels II-IV)
- This is required even for clinically negative neck (cN0) due to high risk of occult nodal disease

3. Facial Nerve Management:
- Preserve if nerve function is intact and a dissection plane exists
- Resect involved nerve branches if:
   * Preoperative facial weakness is present
   * Nerve is encased/grossly involved by tumor

4. Surgical Margins:
- Complete surgical resection with negative margins is the goal
- Close margins may be accepted when anatomically constrained

The approach should be individualized and discussed in a multidisciplinary tumor board, with consideration for subsequent adjuvant therapy. The surgical planning must balance maximum oncologic control with functional preservation where safely possible. TERMINATE",headneck_cancer_3,headneck_cancer_3,TRUE,YES
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.","Based on my review of the pdf_viewer's output, I can provide a clear and comprehensive answer about the follow-up imaging schedule for high-grade salivary gland cancers post-treatment:

The recommended imaging schedule follows a systematic, risk-adapted approach:

1. At 3 months post-treatment:
- Baseline imaging with contrast CT or MRI of the primary site and/or PET/CT

2. First 2 years:
- Every 6-12 months: Contrast CT or MRI of primary site and chest CT

3. Years 3-5:
- Imaging guided by symptoms and physical examination
- Optional yearly imaging for high-grade cases
- Chest CT and primary site imaging as clinically indicated

4. After 5 years:
- Annual follow-up examinations
- Optional yearly chest CT, particularly for high-grade cases

Important considerations:
- More frequent surveillance is recommended in the initial period
- High-grade histology cases warrant more intensive long-term monitoring
- Both primary site and chest should be monitored due to metastasis risk
- Choice between CT and MRI depends on individual patient factors and accessibility

TERMINATE",headneck_cancer_3,headneck_cancer_3,TRUE,YES
