question,expected_answer,DeepSeek-R1_answer,DeepSeek-R1_match
What are the guidelines for immunotherapy in platinum-refractory recurrent or metastatic HNSCC?,Pembrolizumab or nivolumab should be offered to patients regardless of PD-L1 CPS status.,"The guidelines for platinum-refractory recurrent or metastatic HNSCC recommend **anti-PD-1 inhibitors (nivolumab or pembrolizumab)** as second-line therapy, based on trials like CheckMate 141 and KEYNOTE-040 demonstrating survival benefits over chemotherapy. Key points:  
- **Nivolumab** or **pembrolizumab** are preferred regardless of PD-L1 status, though PD-L1 testing (e.g., CPS ≥1) may help predict response.  
- **NCCN guidelines** endorse these agents for patients with good performance status (ECOG 0-1).  
- No prior immunotherapy exposure is assumed.  
- Combination regimens (e.g., pembrolizumab + chemotherapy) are typically reserved for first-line treatment.  
- Monitor for immune-related adverse events.",YES
What is the recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC?,"PD-L1 immunohistochemistry testing is recommended, and a CPS ≥1 is considered positive for PD-1 inhibitor therapy.","The recommendation for PD-L1 biomarker testing in recurrent/metastatic HNSCC is to perform PD-L1 Combined Positive Score (CPS) testing at diagnosis to guide first-line immunotherapy decisions. A CPS ≥1 is typically required for pembrolizumab monotherapy or combination therapy, while CPS ≥20 may indicate stronger benefit for pembrolizumab alone. Testing ensures eligibility for anti-PD-1/PD-L1 therapies, per guidelines like NCCN and evidence from trials such as KEYNOTE-048.",YES
Can radiation therapy be integrated with immunotherapy for recurrent HNSCC?,Radiation therapy may be safely administered concurrently with immunotherapy for palliative or local control in oligometastatic settings,"Yes, radiation therapy can be integrated with immunotherapy for recurrent head and neck squamous cell carcinoma (HNSCC). Emerging evidence suggests that radiation may enhance the immune response by releasing tumor antigens, potentially synergizing with checkpoint inhibitors (e.g., pembrolizumab, nivolumab) to improve outcomes. Clinical trials have shown promising results, including improved local control and survival, though optimal protocols (e.g., timing, dosing) and long-term safety are still under investigation. This combination is considered a viable strategy, often explored in trials or under multidisciplinary guidance.",NO
What are the PARP inhibitor recommendations for newly diagnosed advanced ovarian cancer responding to platinum-based chemotherapy?,"PARP inhibitors are recommended as maintenance therapy for BRCA-mutated or HRD-positive patients, with varying regimens based on genetic status.","For newly diagnosed advanced ovarian cancer patients responding to platinum-based chemotherapy, **PARP inhibitors** are recommended as maintenance therapy based on biomarker status:  
- **BRCA-mutated (germline/somatic):** Olaparib or niraparib.  
- **HRD-positive (including BRCA wild-type):** Olaparib combined with bevacizumab.  
- **HRD-negative/unknown:** Niraparib may be considered, though benefit is less pronounced.  

Recommendations align with NCCN guidelines and trials (SOLO-1, PRIMA, PAOLA-1). Biomarker testing (BRCA/HRD) is critical for tailored therapy.",YES
What is the effect of PARP inhibitors on patients' overall survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,Evidence suggests potential overall survival detriments in later-line treatments with PARP inhibitors,"In recurrent ovarian cancer patients without BRCA mutations or HRD-positivity, PARP inhibitors generally show limited or no significant improvement in overall survival (OS). While they may extend progression-free survival (PFS) in some cases, the absence of homologous recombination deficiency (HRD) reduces synthetic lethality, diminishing their efficacy. Clinical trials (e.g., NOVA, ARIEL3) often report OS benefits primarily in HRD-positive or BRCA-mutated subgroups, with minimal or non-significant OS gains in HRD-negative populations. Thus, their impact on OS in this specific patient group remains modest.",NO
What is the effect of PARP inhibitors on patients' progression-free survival in recurrent ovarian cancer without BRCA-mutation or HRD-positivity?,PARP inhibitors demonstrated progression-free survival benefits,"In recurrent ovarian cancer patients without BRCA mutations or HRD-positivity, PARP inhibitors provide a **modest improvement in progression-free survival (PFS)** compared to placebo, particularly when used as maintenance therapy after platinum-based chemotherapy. However, the benefit is **significantly smaller** than in patients with BRCA mutations or HRD-positive tumors. For example, trials like NOVA and ARIEL3 reported median PFS gains of ~3-6 months in HRD-negative subgroups, versus more robust improvements in biomarker-positive groups. Their use in this population is guided by clinical judgment and residual treatment response.",YES
What surgical approach is recommended for T3-T4 parotid cancers with high-grade malignancy?,"At least a superficial parotidectomy, with consideration of total or subtotal parotidectomy.","For T3-T4 high-grade parotid cancers, the recommended surgical approach is **total parotidectomy with en bloc resection of involved adjacent structures** (e.g., skin, muscle, bone) and **selective or therapeutic neck dissection** (due to high nodal metastasis risk). **Facial nerve sacrifice** is required if infiltrated, with potential grafting for functional restoration. Clear margins are prioritized, and adjuvant radiotherapy ± chemotherapy is typically added postoperatively.",NO
What is the recommended follow-up imaging schedule for high-grade salivary gland cancers post-treatment?,"Baseline imaging at 3 months, every 6-12 months for the first 2 years, and symptom-directed imaging from years 3-5. Yearly chest CT may be considered for high-grade cases.","For high-grade salivary gland cancers post-treatment, follow-up imaging is generally recommended **every 3-6 months for the first 2-3 years**, then **annually for up to 5 years**, guided by clinical assessment and institutional protocols. MRI or CT scans are commonly used, with PET-CT reserved for suspected recurrence. Always tailor the schedule to individual risk and multidisciplinary team recommendations.",NO
What chemotherapy regimen is recommended for stage III-IVA nasopharyngeal carcinoma (NPC) during induction?,"Platinum-based regimens such as GP (gemcitabine and cisplatin) or TPF (docetaxel, cisplatin, 5-fluorouracil) every 3 weeks for 2-3 cycles.","The recommended induction chemotherapy regimen for stage III-IVA nasopharyngeal carcinoma is **gemcitabine plus cisplatin (GP)**, based on phase III trial evidence showing improved survival. This is typically followed by concurrent cisplatin-based chemoradiation. Alternative regimens like TPF (docetaxel, cisplatin, 5-FU) may be used but are less favored due to higher toxicity.",YES
What radiotherapy technique is preferred for stage II-IVA nasopharyngeal carcinoma?,Intensity-modulated radiotherapy (IMRT) with daily image guidance is strongly recommended.,"The preferred radiotherapy technique for stage II-IVA nasopharyngeal carcinoma is **intensity-modulated radiation therapy (IMRT)**. It offers precise tumor targeting while minimizing radiation exposure to adjacent critical structures (e.g., spinal cord, parotid glands), improving outcomes and reducing side effects like xerostomia.",YES
What is the role of adjuvant chemotherapy for T3N0 nasopharyngeal carcinoma patients?,"Adjuvant chemotherapy may be offered, typically using a PF regimen.","Adjuvant chemotherapy is often recommended for T3N0 nasopharyngeal carcinoma (NPC) following concurrent chemoradiotherapy (CCRT) to reduce recurrence risk, particularly for distant metastases. While it is part of standard care for stage III disease (which includes T3N0), its benefit in this subgroup is debated. Recent studies suggest it may offer limited survival gains compared to CCRT alone, especially in patients with good treatment response or low-risk features (e.g., undetectable post-treatment EBV DNA). Decisions are individualized, weighing potential toxicity against perceived benefits.",NO
What is the schedule of radiation recommended for radiotherapy in nasopharyngeal carcinoma?,A dose of 70 Gy in 33-35 fractions (2.0-2.12 Gy per fraction) over 7 weeks is recommended.,"The standard radiotherapy schedule for nasopharyngeal carcinoma typically involves **66–70 Gy delivered in 1.8–2 Gy daily fractions over 6–7 weeks**, using intensity-modulated radiation therapy (IMRT). Concurrent chemotherapy (e.g., cisplatin) is often added for advanced stages (II–IV). Elective nodal regions receive 50–54 Gy. Adjustments may occur based on tumor stage and patient tolerance.",YES
What are the treatment options for MET exon 14 skipping mutation-positive NSCLC?,Capmatinib or tepotinib are recommended.,"The primary treatment for MET exon 14 skipping mutation-positive NSCLC is targeted therapy with MET tyrosine kinase inhibitors (TKIs) such as **capmatinib** or **tepotinib**, which are FDA-approved first-line options due to high response rates. If resistance occurs or TKIs are unavailable, options include **chemotherapy** (with or without immunotherapy) or off-label use of **crizotinib** (another MET inhibitor). Participation in **clinical trials** exploring newer MET inhibitors or combinations is also recommended. Molecular testing is essential to guide therapy selection.",YES
What is the guideline for first-line treatment in EGFR exon 20 insertion NSCLC?,Chemotherapy combined with amivantamab,"The first-line treatment guideline for EGFR exon 20 insertion NSCLC is **amivantamab (a bispecific EGFR/MET antibody) combined with platinum-based chemotherapy**, based on the phase 3 PAPILLON trial showing improved progression-free survival. If unavailable, platinum-doublet chemotherapy remains an option. Other targeted therapies (e.g., mobocertinib) are no longer recommended due to withdrawal or lack of confirmatory data.",YES
What is the recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation?,Osimertinib is recommended as the first-line treatment,"The recommended first-line treatment for stage IV NSCLC with EGFR exon 19 deletion mutation is **osimertinib**, a third-generation EGFR tyrosine kinase inhibitor (TKI), based on superior efficacy and CNS activity demonstrated in the FLAURA trial and endorsed by guidelines (NCCN, ESMO).",YES
How should patients with stage IV NSCLC and EGFR mutation progress after osimertinib treatment?,"Platinum-based chemotherapy, with or without amivantamab","For stage IV EGFR-mutant NSCLC progressing on osimertinib:  
1. **Assess progression pattern**: Local therapy (e.g., radiation) for oligoprogression; systemic therapy for widespread progression.  
2. **Molecular testing** (tissue/liquid biopsy) to identify resistance mechanisms (e.g., MET amplification, C797S mutation, HER2 alterations).  
3. **Targeted therapy** if actionable mutation (e.g., MET inhibitor + osimertinib for MET amplification).  
4. **Chemotherapy** (platinum-pemetrexed ± bevacizumab) if no targetable alteration.  
5. **Clinical trials** (e.g., fourth-generation TKIs, antibody-drug conjugates).  
6. **Supportive/palliative care** for symptom management.  
Prioritize biomarker-guided strategies and trial enrollment.",NO
What is the first line treatment for stage IV NSCLC with ROS1 fusion mutation?,"First-line treatment includes repotrectinib, entrectinib, or crizotinib.","The first-line treatment for stage IV NSCLC with a ROS1 fusion mutation is a ROS1 tyrosine kinase inhibitor, such as **entrectinib** or **crizotinib**. Entrectinib is often preferred due to its central nervous system activity, but both are standard options.",NO
What is the benefit of amivantamab plus lazertinib over osmiertinib alone in untreated EGFR mutation-positive stage IV NSCLC?,Amivantamab plus lazertinib showed a median PFS of 23.7 months compared to 16.6 months with osimertinib alone.,"The combination of amivantamab (an EGFR/MET bispecific antibody) and lazertinib (a third-generation EGFR TKI) demonstrated **significantly longer progression-free survival (PFS)** compared to osimertinib alone in untreated EGFR-mutant stage IV NSCLC, as shown in the MARIPOSA trial. This benefit likely stems from dual targeting of EGFR and MET pathways, which may delay resistance mechanisms (e.g., MET amplification) and enhance efficacy, including potential activity against brain metastases. However, the combination may have a higher toxicity burden.",NO
Should anti-PD-L1 be used for second-line therapy for EGFR mutation-positive NSCLC without targetable alterations?,Anti-PD-(L)1 agents are not recommended,"Anti-PD-L1 therapy is generally not recommended as second-line treatment for EGFR mutation-positive NSCLC without targetable alterations. EGFR-mutant tumors often respond poorly to immunotherapy due to low tumor mutational burden and PD-L1 expression. Clinical trials (e.g., KEYNOTE-789, CheckMate 722) showed limited efficacy for PD-1/PD-L1 inhibitors in this setting. Current guidelines prioritize chemotherapy (e.g., platinum-based regimens) or chemotherapy combined with anti-angiogenic agents (e.g., bevacizumab) after EGFR TKI failure. Immunotherapy may be considered in specific cases but lacks robust evidence for routine use.",YES
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,"Osimertinib (80 mg orally once daily) is combined with platinum-based chemotherapy (cisplatin or carboplatin plus pemetrexed) every 3 weeks for 4 cycles, followed by maintenance pemetrexed, based on the FLAURA2 trial. This regimen improves progression-free survival in advanced EGFR-mutated NSCLC. Monitor for increased toxicity (e.g., myelosuppression, interstitial lung disease). Always follow current guidelines and adjust based on patient tolerance.",YES
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,"The recommended treatment for ROS1-positive NSCLC after progression on crizotinib includes **next-generation ROS1 inhibitors** such as **lorlatinib** or **repotrectinib**, which target resistance mutations. **Clinical trials** for novel agents (e.g., taletrectinib) are also encouraged. If targeted options are unavailable, **platinum-based chemotherapy ± immunotherapy** may be used. Local therapies (e.g., radiation) can be considered for oligoprogressive disease. Molecular testing for resistance mutations (e.g., G2032R) may guide therapy selection.",NO
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.","The combination of atezolizumab, bevacizumab, and chemotherapy (ABCP) in **EGFR-mutated NSCLC** showed promising efficacy in the **IMpower150 trial** subgroup analysis. For EGFR-positive patients who progressed on prior TKIs, ABCP demonstrated improved **progression-free survival (PFS)** and **overall survival (OS)** compared to bevacizumab + chemotherapy alone. However, this data is based on a small subgroup, and results should be interpreted cautiously. While not a first-line standard, this regimen may be considered for EGFR-mutant NSCLC after TKI failure, pending further validation.",NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,"The recommended first-line therapies for patients with MET exon 14 skipping mutations in non-small cell lung cancer (NSCLC) are **capmatinib** and **tepotinib**, which are selective MET tyrosine kinase inhibitors (TKIs). These targeted therapies are preferred over chemotherapy or immunotherapy due to higher efficacy and response rates, as supported by clinical trials (e.g., GEOMETRY mono-1 for capmatinib, VISION for tepotinib). Testing for the mutation via molecular profiling is essential to guide treatment selection.",YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,"The first-line treatment for KRAS G12C-mutated NSCLC typically involves **chemotherapy combined with immunotherapy** (e.g., pembrolizumab or atezolizumab) based on PD-L1 status. While targeted therapies like **sotorasib** and **adagrasib** are approved for KRAS G12C, they are currently used in the **second-line setting** after progression. Clinical trials are evaluating these inhibitors in first-line therapy, but standard-of-care remains chemo-immunotherapy until further evidence.",NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,"The recommended first-line therapy for RET rearrangement-positive NSCLC is targeted therapy with selective RET inhibitors, specifically **selpercatinib** or **pralsetinib**, as per guidelines (e.g., NCCN, ESMO). These agents are preferred over chemotherapy or immunotherapy due to higher efficacy and tolerability.",YES
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,"Upon progression on first-line EGFR TKI, clinicians should test for **T790M** using liquid biopsy (plasma ctDNA) and proceed to tissue biopsy if negative. If **T790M-positive**, treat with **osimertinib** (a third-generation EGFR TKI). If **T790M-negative**, transition to **platinum-based chemotherapy** ± bevacizumab. Re-biopsy at progression is critical to guide therapy.",NO
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,"The first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50% (without actionable EGFR/ALK mutations) is **pembrolizumab (Keytruda) monotherapy**, an anti-PD-1 immunotherapy. This recommendation is based on the KEYNOTE-024 trial, which demonstrated superior survival outcomes compared to chemotherapy.",YES
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,"For stage IV squamous NSCLC with PD-L1 expression of 32% (1–49% range), **single-agent pembrolizumab is not preferred** as first-line therapy. Current guidelines (NCCN/ESMO) recommend **pembrolizumab combined with chemotherapy** for PD-L1 <50%, as this combination improves outcomes compared to monotherapy or chemotherapy alone. Single-agent pembrolizumab is reserved for PD-L1 ≥50% unless chemotherapy is contraindicated.",NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,"For stage IV NSCLC with PD-L1 TPS 0% and no actionable driver mutations, first-line therapy typically involves **platinum-based chemotherapy combined with immunotherapy** (e.g., pembrolizumab + chemotherapy), regardless of PD-L1 status. If actionable mutations (e.g., EGFR, ALK) are present, targeted therapies are prioritized. Always confirm molecular testing and assess patient eligibility for immunotherapy.",YES
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.","For patients with stage IV squamous NSCLC and PD-L1 TPS ≥50%, first-line options include:  
1. **Pembrolizumab monotherapy** (preferred based on survival benefit in KEYNOTE-024).  
2. **Pembrolizumab + chemotherapy** (platinum-based + gemcitabine/taxane) for rapid response or high tumor burden.  
3. **Nivolumab + ipilimumab** (dual immunotherapy, approved regardless of histology).  
Chemotherapy alone is reserved for those ineligible for immunotherapy. Treatment choice depends on patient factors and disease characteristics.",NO
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,"The recommended adjuvant therapy for completely resected stage IB-IIIA NSCLC with EGFR mutations is **osimertinib**, a third-generation EGFR tyrosine kinase inhibitor (TKI), based on the ADAURA trial, which demonstrated significant improvement in disease-free survival. Current guidelines (NCCN, ESMO) endorse osimertinib for 3 years, typically after adjuvant chemotherapy in higher-risk stages (II-IIIA), though it may be used alone in select cases.",YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,"For stage II-IIIA NSCLC patients with PD-L1 ≥1% post-surgery, current guidelines recommend **adjuvant platinum-based chemotherapy followed by one year of adjuvant atezolizumab** (based on IMpower010 trial data), provided there are no contraindications. This approach improves disease-free survival in PD-L1-positive patients. EGFR/ALK testing is still advised to guide potential targeted therapy if mutations are present.",YES
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,"The adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1 is **platinum-based chemotherapy** (e.g., cisplatin with vinorebine, gemcitabine, or pemetrexed) followed by **pembrolizumab**, based on the KEYNOTE-091 trial. Pembrolizumab is now recommended post-chemotherapy regardless of PD-L1 status, per FDA approval and NCCN guidelines.",NO
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,"Yes, osimertinib is recommended for stage IB NSCLC (tumors ≥4 cm) with EGFR mutations based on the ADAURA trial, which showed significant disease-free survival benefit in adjuvant settings. Current guidelines support its use for resected stage IB-IIIA EGFR-mutant NSCLC, including high-risk stage IB (≥4 cm). However, long-term overall survival data remain pending, and decisions should consider patient-specific factors and multidisciplinary discussion.",NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,"The recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease is **platinum-based chemotherapy combined with nivolumab (an anti-PD-1 immunotherapy)**, based on the CheckMate 816 trial, which demonstrated improved outcomes over chemotherapy alone. This approach is supported by current guidelines (e.g., NCCN).",NO
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,"The primary management for medically inoperable stage III NSCLC is **concurrent chemoradiotherapy** (platinum-based chemotherapy + radiation), followed by **durvalumab consolidation immunotherapy** (if no progression), based on the PACIFIC trial. For patients unfit for concurrent therapy, sequential chemotherapy followed by radiation may be used. Treatment is tailored to performance status and comorbidities.",YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,"The evidence-based standard radiation dose for stage III NSCLC treated with concurrent chemoradiation is **60 Gy in 30 fractions (2 Gy daily)** over 6 weeks, based on the RTOG 0617 trial. This trial demonstrated that higher doses (e.g., 74 Gy) worsened survival and increased toxicity. This regimen remains the guideline-recommended standard.",YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,"The standard consolidation immunotherapy for stage III NSCLC after chemoradiation is **durvalumab**, administered **every 2 weeks for up to 12 months**, based on the PACIFIC trial protocol. This duration applies unless disease progression or intolerable toxicity occurs.",YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib","Yes, adjuvant chemotherapy is still recommended for patients with resected stage III NSCLC and EGFR mutations, followed by EGFR-TKI therapy (e.g., osimertinib). While EGFR-TKIs like osimertinib significantly improve outcomes in the adjuvant setting (as shown in the ADAURA trial), current guidelines and trial protocols support combining chemotherapy with targeted therapy for optimal survival benefits. Chemotherapy remains a standard of care unless contraindicated.",YES
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,"The maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma is **17 doses** (200 mg every 3 weeks), totaling approximately **1 year**, based on the KEYNOTE-716 trial protocol.",NO
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.","The recommended therapy for resectable stage IIIB-IV cutaneous melanoma is **adjuvant immunotherapy with **anti-PD-1 agents (pembrolizumab or nivolumab)**. For **BRAF V600 mutation-positive patients**, adjuvant **BRAF/MEK inhibitors (dabrafenib + trametinib)** are also an option. These treatments aim to reduce recurrence risk post-surgery. Choice depends on mutation status, patient tolerance, and clinical context.",NO
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,"After progression on anti-PD-1 therapy in BRAF-mutant unresectable melanoma, **BRAF inhibitor monotherapy** (e.g., vemurafenib or dabrafenib alone) should be avoided due to inferior efficacy and increased toxicity compared to combination BRAF/MEK inhibitors (e.g., dabrafenib + trametinib). Combination targeted therapy or alternative immunotherapies (e.g., anti-CTLA-4) are preferred options.",NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,"For HLA-A*02:01-positive patients with metastatic uveal melanoma, the primary FDA-approved therapy is **tebentafusp**, a bispecific T-cell engager targeting gp100. Additional options include immune checkpoint inhibitors (e.g., ipilimumab, pembrolizumab) with limited efficacy, and participation in clinical trials exploring novel immunotherapies or targeted therapies. Liver-directed therapies (e.g., embolization) may be considered for hepatic metastases.",YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,"For brain metastases <2 cm, the suggested radiation dose is **20–24 Gy in a single fraction** using stereotactic radiosurgery (SRS), per standard protocols. Adjustments may occur based on tumor location or patient-specific factors.",YES
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,"The typical tumor size for preferring surgery over stereotactic radiosurgery (SRS) in brain metastases is **≥3 cm in diameter**. Larger tumors may respond less effectively to SRS due to reduced radiation efficacy and higher risk of complications like mass effect. However, decisions also depend on factors such as tumor location, patient symptoms, overall health, and number of metastases. Guidelines (e.g., NCCN) often cite 3-4 cm as a threshold, with surgery prioritized for symptomatic or accessible lesions. Always consider multidisciplinary evaluation for individualized care.",NO
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,"For asymptomatic brain metastases in EGFR-mutant NSCLC, current evidence supports initiating EGFR-TKIs (e.g., osimertinib) as first-line therapy due to their efficacy in controlling CNS disease. Local therapy (e.g., stereotactic radiosurgery) is not routinely recommended upfront but may be considered for select cases (e.g., larger lesions, oligometastatic disease) or upon progression. Shared decision-making is key, balancing potential benefits of early local intervention against risks like neurotoxicity. Guidelines generally favor deferring local therapy unless symptoms arise or systemic therapy fails.",NO
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,"SRS is generally preferred over WBRT for patients with 1 to 4 unresected brain metastases, though some guidelines extend this to up to 10 in select cases (e.g., small lesion size, controlled systemic disease). The decision depends on tumor volume, patient performance status, and institutional protocols.",NO
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,"Radiation therapy is generally not recommended for patients with brain metastases and a KPS ≤50 due to limited survival benefit and potential harms. Studies like the QUARTZ trial show that whole-brain radiation does not significantly improve survival or quality of life compared to supportive care alone. Exceptions may include select cases where short-course radiation could rapidly alleviate symptoms without significant toxicity. Prioritizing palliative care and symptom management is typically advised, with treatment decisions guided by individual prognosis and patient/family goals.",YES
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,"The primary alternative to PCV chemotherapy for grade 2 IDH-mutant, 1p/19q-codeleted oligodendroglioma, due to toxicity concerns, is **temozolomide (TMZ)**. TMZ is better tolerated, with fewer side effects, and has shown efficacy in this subtype. Watchful waiting (active monitoring with MRI) may also be considered for asymptomatic, stable tumors. Dose-adjusted PCV or clinical trials exploring targeted therapies are additional options. Always tailor treatment to individual patient factors.",YES
"What alternative therapy is available for glioblastoma, IDH-wildtype, with poor prognosis?",Hypofractionated RT with TMZ or supportive care are reasonable options.,"Alternative therapies for glioblastoma, IDH-wildtype, with poor prognosis include:  
1. **Clinical trials**: Investigating targeted therapies (e.g., EGFR inhibitors), immunotherapies (checkpoint inhibitors, CAR-T), or oncolytic viruses.  
2. **Tumor-Treating Fields (TTFields)**: Noninvasive electric field therapy (e.g., Optune®) combined with chemotherapy.  
3. **Personalized approaches**: Biomarker-guided treatments (e.g., VEGF inhibitors like bevacizumab for recurrent cases).  
4. **Experimental options**: Gene therapy or combination therapies.  

**Note**: These therapies are not curative and require evaluation by a neuro-oncology team. Clinical trials remain the primary avenue for accessing emerging treatments.",NO
