question,expected_answer,claude_answer,claude_match
How should osimertinib be administered with chemotherapy for advanced EGFR-mutated NSCLC?,Osimertinib plus platinum-based chemotherapy with maintenance pemetrexed is recommended for certain patients.,Osimertinib should NOT be administered with chemotherapy as first-line treatment for advanced EGFR-mutated NSCLC. It is used as monotherapy and is the preferred first-line treatment option for these patients.,NO
What is the treatment recommendation for ROS1-positive NSCLC after progression on crizotinib?,Patients may be offered lorlatinib as a second-line treatment.,"After progression on crizotinib in ROS1-positive NSCLC, next-generation ROS1 inhibitors like entrectinib or lorlatinib are recommended as subsequent therapy options. These agents have shown efficacy in crizotinib-resistant disease.",NO
What is the efficacy of atezolizumab plus bevacizumab and chemotherapy in EGFR-mutated NSCLC?,"In the ATTLAS trial, this combination showed a median PFS of 8.48 months compared to 5.62 months with chemotherapy alone.",The IMpower150 trial showed that atezolizumab plus bevacizumab and chemotherapy improved progression-free survival (PFS) and overall survival (OS) in EGFR-mutated NSCLC patients who had previously failed on EGFR-TKI therapy. The median PFS was 9.7 months vs 6.1 months with bevacizumab-chemotherapy alone.,NO
What are the recommendations for 1st line therapy in patients with MET exon 14 skipping mutations?,Capmatinib or tepotinib are recommended as first-line therapies.,"For patients with MET exon 14 skipping mutations, the recommended first-line therapy is a MET tyrosine kinase inhibitor (TKI). The FDA-approved options are:
- Capmatinib (Tabrecta)
- Tepotinib (Tepmetko)

Both drugs have shown significant efficacy in clinical trials for this specific mutation.",YES
What is the treatment for KRAS G12C-mutated NSCLC as 1st line therapy?,Chemotherapy,"For first-line treatment of KRAS G12C-mutated NSCLC, the current standard is platinum-based chemotherapy plus/minus immunotherapy (pembrolizumab), as KRAS G12C inhibitors are currently only FDA-approved for second-line therapy and beyond.",NO
What is the recommendation for RET rearrangement-positive NSCLC as 1st line therapy?,Selpercatinib or pralsetinib are recommended as first-line therapies.,"For RET rearrangement-positive NSCLC, the recommended first-line therapy is selective RET inhibitor selpercatinib (Retevmo) or pralsetinib (Gavreto). These targeted therapies are preferred over chemotherapy and/or immunotherapy.",YES
How should clinicians manage EGFR T790M resistance alterations in advanced NSCLC?,Osimertinib is the recommended treatment for EGFR T790M resistance alterations.,"For EGFR T790M resistance in advanced NSCLC, clinicians should:

1. Confirm T790M mutation through molecular testing (liquid or tissue biopsy)
2. Prescribe osimertinib (third-generation EGFR-TKI) as the standard treatment
3. Monitor treatment response and potential development of additional resistance mechanisms",YES
What is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%?,Single-agent immunotherapy,"Pembrolizumab monotherapy is the first-line treatment for patients with stage IV NSCLC and PD-L1 TPS ≥50%, without EGFR mutations or ALK rearrangements.",YES
Should single agent pembrolizumab be used for stage IV squamous NSCLC and PD-L1 expression 32%?,Pembrolizumab plus carboplatin and paclitaxel (or nab-paclitaxel) is recommended as first-line therapy.,"Yes, single agent pembrolizumab is appropriate first-line therapy for stage IV squamous NSCLC with PD-L1 expression ≥1% (including 32%), based on KEYNOTE-024 trial data showing superior outcomes compared to chemotherapy.",NO
What is the recommended therapy for stage IV NSCLC with PD-L1 TPS of 0?,Pembrolizumab plus carboplatin and pemetrexed,"For stage IV NSCLC with PD-L1 TPS of 0%, the recommended first-line therapy is platinum-based chemotherapy doublet (such as carboplatin/pemetrexed) plus bevacizumab if there are no contraindications and no actionable mutations.",NO
What are the options for patients with stage IV NSCLC with squamous histology and PD-L1 TPS ≥50%?,"Single-agent pembrolizumab, cemiplimab, or atezolizumab, or combination with chemotherapy, may be offered.","For stage IV squamous NSCLC with PD-L1 TPS ≥50%, the primary treatment options are:

1. First-line pembrolizumab monotherapy (preferred)
2. Pembrolizumab + chemotherapy (carboplatin + paclitaxel/nab-paclitaxel)

Both options are supported by phase 3 clinical trial data (KEYNOTE-024 and KEYNOTE-407), with pembrolizumab monotherapy generally preferred due to better tolerability.",NO
What is the recommended adjuvant therapy for completely resected stage I-IIIA NSCLC with EGFR mutations?,Adjuvant osimertinib is recommended,"For completely resected stage I-IIIA NSCLC with EGFR mutations, adjuvant osimertinib is recommended based on the ADAURA trial, which showed significantly improved disease-free survival compared to placebo.",YES
How should stage II-IIIA NSCLC patients with PD-L1 expression ≥1% be managed after surgery?,Adjuvant atezolizumab is recommended after cisplatin-based chemotherapy for patients with PD-L1 ≥1%.,"For stage II-IIIA NSCLC patients with PD-L1 expression ≥1%, the recommended management after surgery is adjuvant platinum-based chemotherapy followed by atezolizumab immunotherapy for 1 year. This approach is based on the IMpower010 trial, which demonstrated improved disease-free survival with this treatment strategy.",YES
What is the adjuvant therapy for resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1?,Cisplatin-based chemotherapy is recommended as the adjuvant therapy.,"For resected stage IIB-IIIA NSCLC without EGFR mutations or high PD-L1, the standard adjuvant therapy is platinum-based chemotherapy (typically cisplatin-based doublet for 4 cycles).",YES
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,"Yes, osimertinib is recommended as adjuvant therapy for stage IB NSCLC with tumors ≥4 cm harboring EGFR mutations (exon 19 deletions or L858R mutations), based on the ADAURA trial results showing improved disease-free survival in these patients.",NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,"For resectable stage III NSCLC with N2 disease, the recommended neoadjuvant therapy is platinum-based chemotherapy, typically combined with concurrent radiation therapy. This approach aims to downstage the tumor before surgery and improve survival outcomes.",YES
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,"For medically inoperable stage III NSCLC, the standard treatment is concurrent chemoradiation therapy (combining chemotherapy with radiation therapy), assuming the patient can tolerate it. If concurrent therapy isn't tolerable, sequential chemoradiation or radiation therapy alone may be considered based on the patient's performance status.",YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,"The standard evidence-based radiation dose for stage III NSCLC treated with concurrent chemoradiation is 60 Gy delivered in 30 fractions (2 Gy per fraction). This is based on the RTOG 0617 trial, which showed that dose escalation to 74 Gy did not improve outcomes and was associated with increased toxicity compared to 60 Gy.",YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,"The standard duration of consolidation immunotherapy with durvalumab for stage III NSCLC patients after chemoradiation is 12 months, based on the PACIFIC trial.",YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib","Yes, adjuvant chemotherapy should still be offered to patients with resected stage III NSCLC with EGFR mutation. While targeted therapy (EGFR TKIs) has shown benefit in this setting, it does not replace but rather complements standard adjuvant chemotherapy according to current guidelines.",NO
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,The maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma is 1 year (12 months).,NO
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.","For resectable stage IIIB-IV cutaneous melanoma, the recommended therapy is:

1. Complete surgical resection of the tumor
2. Followed by adjuvant therapy with either:
   - Anti-PD-1 immunotherapy (pembrolizumab or nivolumab)
   - OR targeted therapy with BRAF/MEK inhibitors (for BRAF-mutated tumors)",NO
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,"After progression on anti-PD-1 therapy in BRAF-mutant unresectable melanoma, single-agent BRAF inhibitor therapy should be avoided. Combination therapy with BRAF and MEK inhibitors is preferred if targeted therapy is being considered.",NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,"For HLA-A*02:01-positive patients with metastatic uveal melanoma, key therapy options include:

1. IMCgp100/tebentafusp (first-line treatment) - a bispecific fusion protein targeting gp100 and CD3
2. Immune checkpoint inhibitors (e.g., pembrolizumab, ipilimumab)
3. Clinical trials testing novel immunotherapies
4. Conventional treatments like chemotherapy or liver-directed therapies

Tebentafusp is particularly important as it's specifically approved for HLA-A*02:01-positive patients and has shown improved overall survival.",YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,"For brain metastases less than 2 cm in size, a typical stereotactic radiosurgery (SRS) dose of 18-24 Gy in a single fraction is commonly recommended.",YES
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,"Generally, surgery is preferred over Stereotactic Radiosurgery (SRS) for brain metastases when the tumor is larger than 3-4 cm in diameter, though individual cases may vary based on location and other factors.",YES
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,"For asymptomatic brain metastases in EGFR-mutant NSCLC, systemic EGFR-TKI therapy alone is typically recommended as first-line treatment, without immediate local therapy. Local therapy (radiation) can be reserved for if/when there's progression or symptoms develop, as EGFR-TKIs often have good CNS penetration and efficacy.",YES
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,"For patients with 1-4 brain metastases, SRS (Stereotactic Radiosurgery) is generally preferred over WBRT (Whole Brain Radiation Therapy) as first-line treatment for unresected brain metastases, based on better cognitive outcomes and similar survival rates.",YES
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,"Generally, radiation therapy is not recommended for patients with KPS ≤ 50 and brain metastases, as these patients have very poor prognosis and limited life expectancy. Best supportive care is usually the more appropriate option.",YES
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,"The main alternative treatment for grade 2 IDH-mutant, 1p19q codeleted oligodendroglioma when standard chemotherapy (typically PCV or temozolomide) cannot be used due to toxicity is radiation therapy alone. However, treatment decisions should be individualized based on patient factors and tumor characteristics.",NO
