Question,Answer,Guideline,Generated_answer,Matches_Expected
Should osimertinib be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation?,Adjuvant osimertinib may be considered,lung_cancer_5,"[TextBlock(text='No, osimertinib should not be recommended for stage IB NSCLC with tumors ≥4 cm with EGFR mutation.', type='text')]",NO
What is the recommended neoadjuvant therapy for resectable stage III NSCLC with N2 disease?,Neoadjuvant chemotherapy or concurrent chemoradiation,lung_cancer_6,"[TextBlock(text='Neoadjuvant chemotherapy or neoadjuvant concurrent chemoradiation is recommended for resectable N2 disease.', type='text')]",YES
What is the management for stage III NSCLC that is medically inoperable?,Concurrent chemoradiation is recommended as the definitive therapy,lung_cancer_6,"[TextBlock(text='The management for stage III NSCLC that is medically inoperable is concurrent chemoradiotherapy.', type='text')]",YES
What is the evidence-based radiation dose for stage III NSCLC treated with chemoradiation?,A dose of 60 Gy in conventional fractionation is recommended for concurrent chemoradiation.,lung_cancer_6,"[TextBlock(text='60 Gy', type='text')]",YES
What is the length of consolidation immunotherapy for patients with stage III NSCLC finished chemoradiation?,Consolidation durvalumab for up to 12 months is recommended,lung_cancer_6,"[TextBlock(text='12 months', type='text')]",YES
"For patients with resected stage III NSCLC and EGFR mutation, should adjuvant chemotherapy still be offered?","Yes, platinum-based chemotherapy should be offered before osimertinib",lung_cancer_6,"[TextBlock(text='Yes, according to the context, platinum-based chemotherapy should be given before osimertinib in these patients.', type='text')]",YES
What is the maximum course of adjuvant pembrolizumab for resected stage IIB or IIC melanoma?,Adjuvant pembrolizumab is given as 200 mg every 3 weeks for a maximum of 15 courses.,melanoma_cancer_1,"[TextBlock(text='52 weeks.', type='text')]",NO
What is the recommended therapy for resectable stage IIIB-IV cutaneous melanoma?,"Neoadjuvant pembrolizumab is recommended, followed by resection and adjuvant pembrolizumab.",melanoma_cancer_1,"[TextBlock(text='Neoadjuvant pembrolizumab, followed by resection, and then adjuvant pembrolizumab is the recommended therapy.', type='text')]",YES
What therapy should be avoided in BRAF-mutant unresectable melanoma after progression on anti-PD-1?,Ipilimumab-containing regimens should be avoided after progression on other therapies.,melanoma_cancer_1,"[TextBlock(text='Combination BRAF/MEK inhibitor therapy should be avoided.', type='text')]",NO
What are the therapy options for metastatic uveal melanoma for HLA-A*02:01-positive patients?,Tebentafusp is recommended for HLA-A*02:01-positive patients with metastatic uveal melanoma.,melanoma_cancer_1,"[TextBlock(text='According to the context, tebentafusp is a therapy option for HLA-A*02:01-positive patients with metastatic uveal melanoma.', type='text')]",YES
What radiation dose is suggested for brain metastases less than 2 cm in size?,Single-fraction SRS with 2000-2400 cGy is recommended.,neurooncology_cancer_1,"[TextBlock(text='1,500 cGy for single-fraction stereotactic radiosurgery (SRS).', type='text')]",NO
When is tumor size cutoff that surgery is preferred over SRS for brain metastases?,Surgery is conditionally recommended for brain metastases over 4 cm.,neurooncology_cancer_1,"[TextBlock(text='Surgery is conditionally recommended over SRS for brain metastases greater than 4 cm in diameter.', type='text')]",YES
"For asymptomatic brain metastases from EGFR-mutant NSCLC, should local therapy be offered?",Local therapy delayed until intracranial progression after osimertinib,neurooncology_cancer_2,"[TextBlock(text='Local therapy can be delayed until there is evidence of intracranial progression in these cases.', type='text')]",YES
What is the number of brain mets that SRS be chosen over WBRT for unresected brain metastases?,SRS alone is recommended for 1-4 unresected brain metastases.,neurooncology_cancer_2,"[TextBlock(text='1-3 brain metastases', type='text')]",NO
Should radiation therapy be offered to patients with KPS ≤ 50 and brain metastases?,Radiation therapy is not recommended for patients with KPS ≤ 50.,neurooncology_cancer_2,"[TextBlock(text='No, radiation therapy should not be offered to these patients as they will not benefit from it within a meaningful time frame.', type='text')]",YES
"What is the alternative treatment for oligodendroglioma, IDH-mutant, 1p19q codeleted, CNS WHO grade 2, due to toxicity concerns?",Temozolimide ,neurooncology_cancer_3,"[TextBlock(text='According to the context, observation (watchful waiting) has been the historically preferred approach for this type of oligodendroglioma.', type='text')]",NO
"What alternative therapy is available for glioblastoma, IDH-wildtype, with poor prognosis?",Hypofractionated RT with TMZ or supportive care are reasonable options.,neurooncology_cancer_3,,
What is the role of bevacizumab in newly diagnosed glioblastoma?,Bevacizumab is not recommended for newly diagnosed glioblastoma.,neurooncology_cancer_3,,
